worker	erq_survey_2	erq_survey_3	erq_survey_4	erq_survey_5	erq_survey_6	erq_survey_7	erq_survey_8	erq_survey_9	erq_survey_10	erq_survey_11
s249	6.0	7.0	4.0	5.0	6.0	6.0	4.0	5.0	5.0	4.0
s252	3.0	6.0	2.0	1.0	6.0	1.0	6.0	6.0	1.0	6.0
s254	6.0	1.0	6.0	1.0	6.0	1.0	6.0	6.0	1.0	6.0
s259	1.0	2.0	1.0	1.0	6.0	4.0	5.0	5.0	1.0	5.0
s262	5.0	4.0	5.0	5.0	4.0	6.0	6.0	4.0	3.0	5.0
s264	6.0	5.0	6.0	5.0	6.0	5.0	6.0	6.0	6.0	6.0
s265	3.0	6.0	3.0	1.0	5.0	6.0	3.0	3.0	5.0	3.0
s269	6.0	6.0	7.0	2.0	6.0	5.0	6.0	7.0	3.0	6.0
s273	5.0	3.0	2.0	2.0	6.0	1.0	3.0	4.0	2.0	7.0
s275	7.0	1.0	7.0	1.0	7.0	1.0	7.0	7.0	3.0	7.0
s277	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s284	3.0	5.0	5.0	2.0	5.0	4.0	5.0	5.0	4.0	5.0
s285	5.0	3.0	5.0	2.0	3.0	1.0	5.0	5.0	3.0	5.0
s286	5.0	1.0	5.0	2.0	5.0	6.0	5.0	5.0	6.0	5.0
s290	6.0	5.0	4.0	3.0	5.0	6.0	5.0	4.0	3.0	5.0
s291	3.0	2.0	4.0	2.0	4.0	1.0	3.0	5.0	6.0	5.0
s293	2.0	5.0	7.0	2.0	6.0	3.0	6.0	2.0	3.0	2.0
s294	5.0	3.0	5.0	1.0	5.0	1.0	5.0	5.0	2.0	5.0
s295	4.0	6.0	4.0	3.0	4.0	5.0	4.0	3.0	2.0	4.0
s297	6.0	3.0	6.0	1.0	7.0	4.0	5.0	6.0	4.0	6.0
s301	6.0	6.0	5.0	1.0	7.0	2.0	6.0	6.0	6.0	7.0
s303	5.0	2.0	5.0	1.0	6.0	5.0	4.0	5.0	5.0	5.0
s305	2.0	7.0	6.0	1.0	7.0	6.0	3.0	6.0	3.0	6.0
s307	6.0	6.0	6.0	4.0	6.0	6.0	6.0	6.0	4.0	6.0
s309	7.0	5.0	7.0	1.0	7.0	3.0	7.0	7.0	5.0	7.0
s313	1.0	7.0	1.0	7.0	1.0	7.0	1.0	1.0	1.0	1.0
s314	6.0	7.0	5.0	4.0	6.0	6.0	5.0	6.0	7.0	6.0
s316	6.0	4.0	6.0	2.0	7.0	3.0	5.0	5.0	4.0	5.0
s326	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s327	5.0	3.0	5.0	2.0	6.0	2.0	7.0	7.0	4.0	7.0
s328	6.0	4.0	5.0	2.0	5.0	1.0	6.0	5.0	5.0	6.0
s329	6.0	5.0	6.0	1.0	6.0	1.0	6.0	6.0	1.0	6.0
s332	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	5.0	6.0
s333	1.0	2.0	6.0	1.0	6.0	2.0	6.0	6.0	2.0	6.0
s334	6.0	5.0	6.0	4.0	6.0	5.0	6.0	6.0	5.0	6.0
s336	5.0	6.0	5.0	5.0	5.0	6.0	5.0	5.0	6.0	5.0
s339	4.0	2.0	4.0	1.0	3.0	1.0	4.0	3.0	2.0	4.0
s343	3.0	5.0	3.0	1.0	6.0	4.0	5.0	6.0	6.0	5.0
s346	2.0	2.0	2.0	1.0	6.0	2.0	6.0	6.0	2.0	6.0
s351	6.0	2.0	5.0	1.0	5.0	1.0	6.0	6.0	3.0	6.0
s352	5.0	7.0	7.0	1.0	6.0	6.0	5.0	5.0	7.0	7.0
s357	5.0	7.0	7.0	2.0	7.0	7.0	5.0	7.0	7.0	7.0
s359	5.0	5.0	5.0	6.0	5.0	5.0	5.0	6.0	5.0	5.0
s365	4.0	7.0	4.0	6.0	5.0	7.0	4.0	3.0	6.0	4.0
s368	5.0	6.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0
s369	5.0	2.0	5.0	1.0	3.0	2.0	4.0	5.0	3.0	5.0
s372	3.0	5.0	5.0	1.0	7.0	5.0	3.0	5.0	5.0	5.0
s373	1.0	4.0	2.0	4.0	2.0	5.0	5.0	4.0	5.0	3.0
s376	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0
s380	4.0	4.0	4.0	2.0	6.0	3.0	4.0	4.0	3.0	4.0
s383	5.0	5.0	6.0	2.0	6.0	2.0	6.0	4.0	3.0	5.0
s388	3.0	4.0	3.0	2.0	5.0	2.0	2.0	5.0	5.0	4.0
s391	5.0	3.0	5.0	2.0	6.0	3.0	3.0	2.0	3.0	3.0
s396	3.0	6.0	4.0	5.0	4.0	6.0	3.0	3.0	5.0	4.0
s397	5.0	6.0	5.0	4.0	4.0	6.0	5.0	5.0	5.0	5.0
s402	5.0	5.0	5.0	2.0	5.0	4.0	5.0	5.0	5.0	5.0
s403	5.0	2.0	3.0	7.0	5.0	1.0	3.0	4.0	1.0	3.0
s408	2.0	2.0	2.0	6.0	1.0	1.0	2.0	2.0	2.0	2.0
s409	5.0	3.0	5.0	2.0	3.0	3.0	5.0	5.0	3.0	5.0
s411	6.0	5.0	6.0	2.0	5.0	4.0	6.0	5.0	5.0	6.0
s420	5.0	2.0	5.0	1.0	5.0	5.0	5.0	5.0	2.0	5.0
s425	5.0	2.0	5.0	1.0	3.0	2.0	5.0	4.0	3.0	4.0
s427	6.0	6.0	6.0	3.0	6.0	6.0	6.0	4.0	6.0	6.0
s429	5.0	5.0	6.0	4.0	6.0	5.0	6.0	6.0	6.0	6.0
s430	5.0	6.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0
s434	5.0	3.0	6.0	2.0	5.0	3.0	5.0	5.0	4.0	5.0
s441	6.0	6.0	2.0	3.0	5.0	6.0	5.0	6.0	4.0	6.0
s446	3.0	6.0	5.0	6.0	3.0	7.0	3.0	5.0	6.0	5.0
s449	5.0	5.0	4.0	2.0	3.0	5.0	3.0	4.0	3.0	5.0
s450	5.0	2.0	5.0	2.0	5.0	3.0	5.0	5.0	2.0	5.0
s451	5.0	5.0	6.0	1.0	4.0	2.0	5.0	5.0	1.0	6.0
s453	5.0	7.0	5.0	1.0	4.0	2.0	5.0	4.0	2.0	5.0
s456	5.0	6.0	5.0	6.0	4.0	5.0	4.0	4.0	7.0	4.0
s459	5.0	1.0	5.0	1.0	5.0	1.0	5.0	4.0	3.0	5.0
s461	7.0	5.0	7.0	2.0	5.0	3.0	6.0	6.0	5.0	6.0
s462	6.0	5.0	6.0	2.0	6.0	5.0	7.0	6.0	5.0	6.0
s467	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	6.0	5.0
s468	4.0	5.0	5.0	2.0	6.0	4.0	4.0	5.0	3.0	5.0
s469	6.0	4.0	6.0	2.0	5.0	4.0	6.0	6.0	5.0	6.0
s471	5.0	3.0	6.0	3.0	6.0	5.0	6.0	5.0	5.0	6.0
s473	5.0	6.0	5.0	4.0	5.0	5.0	6.0	6.0	4.0	5.0
s475	6.0	5.0	4.0	6.0	4.0	5.0	6.0	5.0	6.0	5.0
s477	1.0	6.0	2.0	5.0	2.0	6.0	2.0	2.0	6.0	2.0
s481	3.0	6.0	4.0	3.0	2.0	5.0	2.0	3.0	4.0	3.0
s483	5.0	6.0	5.0	4.0	5.0	3.0	5.0	5.0	6.0	5.0
s484	5.0	3.0	5.0	2.0	5.0	3.0	5.0	5.0	3.0	5.0
s488	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0
s489	6.0	3.0	5.0	2.0	5.0	1.0	5.0	5.0	1.0	5.0
s490	6.0	3.0	7.0	1.0	7.0	5.0	6.0	6.0	6.0	7.0
s491	6.0	2.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0
s492	5.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0
s500	5.0	6.0	2.0	2.0	5.0	1.0	2.0	2.0	3.0	4.0
s501	7.0	2.0	7.0	2.0	6.0	2.0	7.0	7.0	1.0	6.0
s502	5.0	5.0	5.0	1.0	3.0	5.0	5.0	5.0	5.0	5.0
s503	6.0	4.0	6.0	2.0	6.0	2.0	6.0	6.0	5.0	6.0
s504	5.0	6.0	5.0	3.0	6.0	3.0	5.0	5.0	3.0	5.0
s505	5.0	7.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0
s506	5.0	7.0	5.0	5.0	6.0	5.0	5.0	6.0	5.0	5.0
s507	5.0	6.0	3.0	2.0	4.0	3.0	5.0	5.0	3.0	5.0
s508	6.0	1.0	6.0	1.0	5.0	1.0	5.0	6.0	1.0	5.0
s509	6.0	5.0	4.0	2.0	3.0	5.0	5.0	5.0	5.0	5.0
s510	5.0	2.0	5.0	1.0	5.0	1.0	5.0	4.0	3.0	5.0
s511	4.0	6.0	4.0	6.0	4.0	6.0	4.0	5.0	5.0	5.0
