worker	brief_self_control_survey_2	brief_self_control_survey_3	brief_self_control_survey_4	brief_self_control_survey_5	brief_self_control_survey_6	brief_self_control_survey_7	brief_self_control_survey_8	brief_self_control_survey_9	brief_self_control_survey_10	brief_self_control_survey_11	brief_self_control_survey_12	brief_self_control_survey_13	brief_self_control_survey_14
s105	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	5.0	5.0	5.0
s106	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s107	2.0	2.0	5.0	5.0	3.0	2.0	2.0	1.0	5.0	2.0	2.0	4.0	4.0
s108	2.0	2.0	3.0	4.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0
s109	4.0	2.0	3.0	5.0	4.0	3.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0
s110	3.0	2.0	5.0	5.0	3.0	2.0	1.0	1.0	3.0	2.0	3.0	4.0	4.0
s111	4.0	3.0	3.0	5.0	1.0	1.0	2.0	2.0	2.0	4.0	4.0	3.0	5.0
s112	4.0	3.0	3.0	2.0	4.0	4.0	4.0	3.0	2.0	4.0	5.0	5.0	4.0
s114	3.0	1.0	4.0	5.0	2.0	4.0	1.0	1.0	2.0	4.0	5.0	5.0	4.0
s123	4.0	4.0	3.0	3.0	3.0	4.0	1.0	2.0	3.0	3.0	4.0	3.0	3.0
s128	3.0	2.0	2.0	4.0	4.0	3.0	1.0	1.0	2.0	2.0	2.0	4.0	3.0
s129	4.0	1.0	3.0	4.0	4.0	4.0	1.0	3.0	3.0	2.0	3.0	5.0	5.0
s131	4.0	4.0	5.0	3.0	5.0	5.0	4.0	5.0	4.0	2.0	4.0	5.0	5.0
s135	5.0	4.0	5.0	5.0	5.0	5.0	2.0	4.0	4.0	3.0	5.0	5.0	5.0
s140	3.0	4.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0
s142	2.0	3.0	5.0	2.0	3.0	2.0	2.0	2.0	3.0	4.0	3.0	4.0	1.0
s145	3.0	1.0	2.0	5.0	2.0	1.0	1.0	2.0	3.0	2.0	3.0	3.0	5.0
s149	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0
s155	2.0	2.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	4.0	3.0	3.0
