	Age	HighestEducation	HeightInches	WeightPounds	DivorceCount	LongestRelationship	RelationshipNumber	ChildrenNumber	HouseholdIncome	RetirementAccount	RetirementPercentStocks	MortgageDebt	CarDebt	EducationDebt	CreditCardDebt	CoffeeCupsPerDay	TeaCupsPerDay	CaffienatedSodaCansPerDay	CaffieneOtherSourcesDayMG	TrafficTicketsLastYearCount	TrafficAccidentsLifeCount	ArrestedChargedLifeCount	OtherDebtAmount
s109	25	4	70	183	0	60	1	1	40000	1.0	0	1.0	2.0	4.0	2.0	2	0	0	0	0.0	0.0	0.0	
s110	27	3	64	186	0	144	2	1	46000	1.0	0	6.0	2.0	5.0	3.0	0	5	0	10	0.0	0.0	0.0	1.0
s111	37	3	61	150	0	144	5	0	46000	0.0		1.0	1.0	4.0		0	0	5	500	0.0	3.0	2.0	
s112	24	4	72	200	0	24	3	0	12000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	0.0	0.0	
s114	27	4	72	170	0	18	2	0	89000	1.0	0	1.0	1.0	1.0	1.0	2	0	0	0	0.0	2.0	0.0	1.0
s123	24	3	69	150	0	29	2	0	45000	0.0		1.0	1.0	3.0	1.0	0	0	2	2000	0.0	0.0	0.0	
s128	26	3	69	225	0	97	4	0	65000	0.0		1.0	1.0	1.0	4.0	0	0	0	0	0.0	2.0	0.0	1.0
s129	36	3	71	240	0	24	2	0	12000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	0.0	0.0	3.0
s131	38	3	70	180	0	52	2	1	20000	0.0		1.0	1.0	1.0	1.0	3	0	0	150	0.0	2.0	0.0	1.0
s135	27	3	68	150	0	60	5	0	29000	1.0	0	1.0	1.0	3.0	3.0	2	0	0	0	0.0	4.0	0.0	
s140	35	3	69	195	0	24	3	0	30000	0.0		1.0	2.0	1.0	2.0	0	0	0	0	0.0	1.0	0.0	1.0
s142	30	4	76	180	0	48	3	0	46000	1.0	12	5.0	1.0	1.0	2.0	1	0	1	120	1.0	2.0	0.0	1.0
s145	24	2	64	185	0	31	3	0	110000	0.0		5.0	1.0	1.0	1.0	0	0	1	150	0.0	1.0	0.0	1.0
s149	45	6	70	185	1	96	5	0	115000	1.0	75	1.0	1.0	5.0	1.0	1	0	0	0	0.0	2.0	0.0	1.0
s155	33	2	60	167	0	168	5	0	29000	0.0		1.0	1.0	1.0	2.0	5	0	0	0	0.0	0.0	0.0	1.0
s156	37	3	72	198	0	50	6	0	74000	1.0	20	1.0	1.0	1.0	1.0	2	0	0	300	0.0	3.0	1.0	1.0
s161	30	3	65	250	0	137	5	0	68000	1.0	50	1.0	3.0	3.0	1.0	2	1	0	0	0.0	1.0	0.0	1.0
s163	44	4	76	193	0	10	4	4	99000	1.0	99	6.0	3.0	1.0	1.0	0	0	0	0	0.0	2.0	0.0	1.0
s165	31	4	70	150	0	0	0	0	24000	0.0		1.0	3.0	1.0	1.0	0	0	0	0	0.0	1.0	0.0	
s168	33	4	62	135	0	147	4	0	75000	1.0	90	1.0	1.0	1.0	3.0	1	0	0	0	0.0	1.0	0.0	
s170	32	4	69	145	0	55	2	0	5000	0.0			1.0		1.0	3	0	0	0	0.0	0.0	0.0	1.0
s173	26	3	67	135	0	24	2	0	40000	0.0		1.0	1.0	4.0	1.0	1	0	1	0	0.0	0.0	0.0	1.0
s179	30	3	67	190	0	126	2	5	35000	0.0		1.0	3.0	5.0	1.0	0	0	5	0	0.0	1.0	0.0	1.0
s180	33	4	68	180	0	60	5	0	19500	0.0		1.0	1.0	4.0	1.0	1	0	0	0	0.0	0.0	0.0	
s182	26	4	69	299	0	3	1	0	60000	0.0				3.0		0	0	0	0	0.0	0.0	0.0	
s184	48	4	64	160	0	60	4	2	63000	1.0	65	8.0	1.0	4.0	3.0	3	0	1	0	0.0	3.0	0.0	1.0
s186	39	4	76	210	0	144	5	4	74000	1.0	10	8.0	3.0	1.0	3.0	1	2	1	0	0.0	3.0	0.0	
s187	28	4	69	206	0	38	2	0	48500	0.0		1.0	1.0	3.0	2.0	3	0	2	75	0.0	0.0	0.0	1.0
s188	31	3	72	250	0	46	3	0	30000	0.0	0	1.0	3.0	1.0	3.0	3	0	0	0	0.0	0.0	0.0	1.0
s190	29	4	67	155	0	38	4	0	56500	0.0	0	4.0	1.0	3.0	1.0	2	0	0	150	0.0	0.0	0.0	1.0
s192	31	4	65	110	0	88	2	0	75000	0.0		1.0	4.0	1.0	2.0	1	0	0	0	0.0	0.0	0.0	
s196	39	4	65	175	0	192	5	2	35000	0.0		1.0	7.0	1.0	2.0	3	0	0	0	0.0	1.0	0.0	1.0
s198	27	2	68	122	0	22	5	0	19500	0.0	0	1.0	1.0	1.0	1.0	0	0	1	0	0.0	0.0	0.0	
s202	26	5	73	155	0	7	5	0	27500	0.0		1.0	1.0	5.0	1.0								
s205	33	2	67	120	0	65	2	0	23000	0.0		1.0	1.0	1.0	1.0	0	3	1	0	0.0	0.0	0.0	
s206	27	2	62	135	0	26	4	1	25600	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	3.0	4.0	
s207	33	4	64	118	0	153	1	2	4400	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	1.0	0.0	
s208	31	3	71	250	0	48	1	0	50000	0.0		1.0	1.0	6.0	1.0	0	0	1	92	2.0	1.0	4.0	1.0
s209	42	3	68	210	1	48	5	3	23500	0.0		1.0	1.0	1.0	2.0	0	0	1	0	0.0	2.0	1.0	2.0
s210	33	3	70	150	0	66	4	1	35000	0.0		1.0	1.0	1.0	2.0	0	0	0	0	0.0	0.0	2.0	4.0
s212	32	4	65	160	0	36	3	0	77000	0.0		1.0	2.0	6.0	2.0	0	2	0	0	0.0	2.0	0.0	1.0
s216	47	4	66	180	1	168	5	2	31000	0.0		1.0	1.0	3.0	1.0	8	2	2	0	0.0	1.0	0.0	
s218	38	4	70	175	1	60	4	3	64000	1.0	3	6.0	2.0	1.0	2.0	3	0	0	0	0.0	2.0	0.0	1.0
s226	30	4	60	125	1	70	4	2	76000	0.0		1.0	1.0	3.0	2.0	1	0	0	0	1.0	0.0	0.0	
s228	36	2	65	170	0	24	4	0	12000	0.0		1.0	1.0	4.0	4.0	0	0	0	0	0.0	4.0	0.0	
s233	42	3	65	240	0	8	6	0	23000	0.0		1.0	1.0	1.0	2.0	0	0	0	65	0.0	5.0	0.0	
s237	31	3	70	210	1	60	4	1	18000	0.0		1.0	2.0	3.0	2.0	2	0	2	0	0.0	1.0	3.0	
s238	23	2	64	164	0	4	3	4	45000	1.0	0	3.0	3.0	1.0	1.0	4	0	2	300	0.0	0.0	0.0	1.0
s244	37	4	68	150	0	120	5	0	2500	0.0		1.0	1.0	4.0	3.0	4	2	0	0	0.0	5.0	0.0	
s246	26	2	66	212	0	64	3	2	60000	1.0	0	2.0	2.0	1.0	2.0	1	0	2	0	0.0	0.0	0.0	1.0
s249	29	4	70	165	0	36	2	0	30000	0.0	0	1.0	3.0	1.0	3.0	1	1	2	200	3.0	2.0	2.0	
s252	31	2	68	230	0	18	4	0	36000	0.0		6.0	1.0	1.0	1.0	8	0	0	0	0.0	0.0	2.0	
s254	50	3	65	210	2	202	5	2	140000	1.0	0	8.0	2.0	3.0	8.0	0	3	0	40	0.0	5.0	0.0	3.0
s259	26	3	66	120	0	9	5	0	23000	0.0		1.0	1.0	1.0	2.0	0	4	2	0	0.0	4.0	0.0	4.0
s262	36	4	62	112	0	40	3	0	60000	1.0	70		1.0	4.0	1.0	1	0	0	0	0.0	1.0	0.0	
s264	22	3	65	119	0	39	1	0	55000	0.0		1.0	2.0	2.0	1.0	0	0	2	250	0.0	0.0	0.0	2.0
s265	37	5	68	190	0	160	3	2	92500	1.0	50	7.0	4.0	1.0	4.0	3	0	0	0	0.0	1.0	1.0	4.0
s269	28	4	67	140	0	60	4	0	60000	1.0	40	1.0	3.0	5.0	2.0	1	2	3	600	0.0	2.0	1.0	
s273	33	4	64	130	0	8	5	0	48000	1.0	30	1.0	1.0	1.0	2.0	2	1	0	0	0.0	3.0	0.0	
s275	34	3	71	165	0	6	3	0	55000	1.0	5	1.0	1.0	1.0	2.0	2	0	3	350	0.0	0.0	0.0	1.0
s277	27	3	63	120	0	73	1	0	40000	0.0	0	1.0	1.0	1.0	2.0	2	0	0	150	1.0	0.0	0.0	5.0
s284	35	3	64	160	0	12	2	0	60000	0.0		1.0	1.0	1.0	1.0	0	0	3	114	0.0	1.0	0.0	1.0
s285	44	4	65	240	0	7	4	0	31000	1.0	40	5.0	1.0	1.0	1.0	2	0	1	0	0.0	0.0	0.0	
s286	31	4	72	140	0	18	5	0	30000	1.0	7000	1.0	1.0	1.0	1.0	4	0	0	500	0.0	0.0	0.0	1.0
s290	21	2	66	117	0	16	5	0	14000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	0.0	0.0	
s291	30	4	61	115	0	84	4	0	103000	0.0		3.0	1.0	1.0	3.0	1	0	0	180	0.0	2.0	0.0	1.0
s293	26	3	64	125	0	5	3	0	75000	0.0		1.0	1.0	5.0	1.0	1	0	0	0	0.0	0.0	0.0	
s294	23	3	69	160	0	40	1	0	5000	0.0		1.0	1.0	1.0	1.0	1	2	0	0	0.0	0.0	0.0	
s295	26	3	63	160	0	35	2	0	70000	0.0		5.0	1.0	1.0	1.0	3	0	0	0	1.0	0.0	1.0	5.0
s297	40	3	67	150	1	84	5	3	49000	1.0	0	1.0	3.0	4.0	1.0	5	1	2	0	0.0	2.0	0.0	2.0
s301	27	4	68	200	0	18	1	0	37000	0.0			1.0	4.0	1.0	0	0	0	0	0.0	3.0	0.0	
s303	22	4	69	150	0	20	2	0	80000	0.0		1.0	1.0	2.0	1.0	2	0	0	50	0.0	1.0	0.0	
s305	28	3	74	250	0	56	5	0	30000	0.0		1.0	4.0	1.0	1.0	0	0	0	0	0.0	3.0	0.0	
s307	28	4	69	168	0	38	5	0	48000	0.0		6.0	1.0	5.0	1.0	3	0	0	0	0.0	1.0	0.0	
s309	41	4	70	200	0	250	2	2	97500	1.0	20	8.0	3.0	1.0	2.0	0	1	0	0	0.0	1.0	0.0	1.0
s313	23	3	67	180	0	0	0	0	22000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	0.0	0.0	
s314	27	4	78	325	0	16	1	0	30000	0.0		1.0	1.0	6.0	1.0	0	0	2	8	0.0	0.0	0.0	
s316	31	3	71	143	0	73	2	0	64000	1.0	0	1.0	1.0	1.0	1.0	1	0	0	0	0.0	2.0	0.0	1.0
s326	43	2	64	135	0	132	4	0	33000	0.0		1.0	2.0	2.0	2.0	4	0	0	100	0.0	0.0	0.0	1.0
s327	26	2	64	150	0	65	3	0	42000	0.0		6.0	1.0	1.0	2.0	2	0	0	0	0.0	4.0	0.0	4.0
s328	25	3	67	130	0	64	3	0	37000	0.0		1.0	3.0	1.0	2.0	0	2	1	0	0.0	1.0	0.0	
s329	32	3	65	240	0	91	3	0	41000	0.0		1.0	3.0	1.0	2.0	0	2	4	0	0.0	2.0	0.0	
s332	27	3	74	160	0	36	5	0	25000	0.0		2.0	1.0	1.0	1.0	5	1	0	0	0.0	0.0	1.0	1.0
s333	25	3	72	200	0	84	3	0	15000	0.0		1.0	1.0	4.0	2.0	1	1	0	0	0.0	1.0	0.0	
s334	33	3	63	150	0	84	4	1	69000	1.0	50	7.0	3.0	1.0	2.0	2	0	1	600	0.0	2.0	1.0	1.0
s336	26	4	70	230	0	15	1	0	35000	0.0		1.0	1.0	3.0	1.0	1	3	0	0	0.0	0.0	0.0	1.0
s339	28	3	65	190	0	84	3	2	74000	0.0		7.0	4.0	1.0	3.0	2	5	0	0	0.0	1.0	0.0	
s343	20	3	61	126	0	48	1	0	11000	0.0		1.0	1.0	3.0	1.0	1	0	0	0	0.0	1.0	0.0	
s346	42	4	75	210	0	120	3	2	85000	1.0	10	6.0	4.0	2.0	1.0	0	0	1	0	0.0	0.0	0.0	6.0
s351	34	2	64	132	0	18	4	0	35000	0.0		1.0	3.0	1.0	1.0	0	0	1	121	1.0	1.0	0.0	
s352	25	4	69	200	0	120	1	2	50000	0.0		1.0	4.0	4.0	2.0	1	1	5	0	0.0	0.0	0.0	1.0
s357	49	3	64	120	2	120	6	2	50000	0.0		7.0	1.0	3.0	2.0	4	0	0	0	0.0	0.0	0.0	
s359	35	4	66	154	0	63	1	2	76000	0.0		1.0	3.0	1.0	2.0	0	2	0	0	0.0	0.0	0.0	
s365	43	4	69	210	0	12	3	0	16000	0.0		1.0	1.0	1.0	3.0	10	0	2	0	0.0	2.0	4.0	
s368	50	2	76	300	0	216	5	0	25000	0.0		1.0	1.0	1.0	1.0	0	6	0	0	0.0	3.0	0.0	
s369	33	4	70	180	0	36	2	0	55000	0.0		1.0	1.0	5.0	2.0	1	2	0	0	0.0	0.0	0.0	
s372	37	4	72	195	0	6	1	0	50000	0.0		1.0	1.0	5.0	1.0	2	0	0	0	0.0	0.0	0.0	
s373	26	4	67	140	0	7	4	0	30000	0.0	0	1.0	1.0	4.0	1.0	3	0	4	0	0.0	0.0	0.0	
s376	39	4	76	270	0	132	2	2	82000	1.0	25	6.0	4.0	5.0	4.0	0	2	0	500	0.0	2.0	0.0	
s380	44	2	66	175	0	274	2	2	63000	0.0		7.0	5.0	1.0	2.0	1	0	0	95	0.0	0.0	0.0	1.0
s383	50	3	64	175	1	357	4	2	90000	1.0	60	7.0	4.0	1.0	3.0	2	0	0	0	0.0	2.0	0.0	
s388	35	5	69	245	0	193	3	2	125000	1.0	25	7.0	4.0	7.0	4.0	1	0	1	0	0.0	4.0	1.0	8.0
s391	33	2	71	225	0	24	3	0	50000	0.0		1.0	1.0	1.0	1.0	0	0	5	0	0.0	0.0	0.0	
s396	35	6	70	118	0	169	3	0	149000	0.0		1.0	1.0	1.0	1.0	1	0	0	0	0.0	0.0	0.0	
s397	40	3	67	125	0	243	2	0	45000	0.0		1.0	1.0	1.0	2.0	1	1	0	0	0.0	1.0	0.0	1.0
s402	21	3	64	200	0	0	0	0	10000	0.0		1.0	1.0	1.0	1.0	1	3	1	3	0.0	1.0	0.0	
s403	22	3	64	250	0	0	0	0	32000	0.0		1.0	1.0	3.0	1.0	0	0	4	0	0.0	0.0	0.0	
s408	48	3	65	154	0	244	5	1	34000	0.0		4.0	3.0	6.0	3.0	0	0	6	0	0.0	4.0	0.0	
s409	41	2	64	114	1	192	5	0	24000	1.0	0	1.0	3.0	1.0	2.0	0	3	1	0	0.0	3.0	0.0	
s411	32	5	71	180	0	40	5	0	60000	0.0		1.0	3.0	1.0	2.0	1	0	0	0	1.0	0.0	0.0	
s420	34	4	71	220	0	209	2	2	95000	1.0	5	8.0	4.0	1.0	3.0	1	0	1	0	0.0	1.0	1.0	
s425	34	3	62	185	0	60	6	1	5000	0.0		1.0	1.0	1.0	1.0	0	1	3	0	0.0	0.0	1.0	
s427	34	5	73	221	0	35	5	0	90000	1.0	95	1.0	1.0	5.0	1.0	4	0	0	0	0.0	2.0	0.0	1.0
s429	24	2	77	210	0	3	1	0	20000	0.0		1.0	1.0	1.0	1.0	0	0	0	0	0.0	0.0	0.0	1.0
s430	32	3	63	180	0	144	1	4	40000	0.0		2.0	1.0	3.0	3.0	2	0	3	0	0.0	2.0	0.0	
s434	34	4	65	190	0	176	3	2	150000	1.0	80	8.0	1.0	1.0	1.0	2	0	0	0	0.0	0.0	0.0	
s441	40	3	63	159	0	168	6	1	1000	0.0		1.0	1.0	3.0	1.0	6	0	1	0	0.0	3.0	6.0	
s446	25	4	72	167	0	3	2	0	39000	0.0		1.0	1.0	5.0	1.0	0	1	0	0	0.0	1.0	1.0	
s449	37	6	65	150	0	171	5	2	240000	1.0	50	7.0	1.0	1.0	3.0	0	0	2	209	0.0	2.0	0.0	1.0
s450	35	3	63	200	0	242	3	2	35000	0.0			1.0	1.0	1.0	1	0	1	0	0.0	1.0	0.0	
s451	36	6	63	160	1	156	6	0	23000	0.0		6.0	1.0	1.0	3.0	0	2	0	0	0.0	1.0	0.0	
s453	41	2	78	220	0	18	1	5	65000	0.0		1.0	1.0	1.0	1.0	3	5	2	700	0.0	0.0	1.0	1.0
s456	27	3	74	160	0	36	3	0	20000	0.0	20	2.0	3.0	1.0	3.0	0	2	0	100	2.0	1.0	0.0	1.0
s459	30	3	68	300	0	60	4	0	40000	0.0		1.0	2.0	5.0		1	0	0	0	0.0	2.0	0.0	
s461	36	3	64	150	0	60	5	2	25000	0.0		6.0	1.0	1.0	3.0	6	0	0	0	0.0	0.0	0.0	
s462	32	2	19	230	0	96	2	1	60000	0.0		5.0	1.0	1.0	2.0	0	0	2	0	0.0	0.0	0.0	1.0
s467	50	2	65	280	1	260	2	4	30000	0.0		1.0	1.0	4.0	1.0	4	0	1	0	0.0	0.0	0.0	
s468	24	4	62	115	0	95	3	0	70000	0.0		1.0	1.0	1.0	1.0	1	0	1	0	0.0	0.0	0.0	
s469	43	4	67	180	0	80	4	0	20000	0.0		3.0	1.0	1.0	2.0	0	3	0	0	0.0	0.0	0.0	
s471	32	4	69	155	0	54	5	0	65000	0.0	0	1.0	1.0	1.0	1.0	2	0	0	55	0.0	2.0	0.0	1.0
s473	23	4	70	150	0	36	1	0	30000	1.0	0					1	0	0	200	1.0	0.0	0.0	
s475	27	3	70	190	0	24	5	0	24000	0.0		1.0	1.0	2.0	1.0	1	0	0	35	0.0	2.0	0.0	
s477	32	2	66	135	0	8	2	0	10000	0.0		4.0	1.0	1.0	1.0	0	0	2	0	0.0	0.0	1.0	
s481	29	5	66	185	0	15	3	0	15000	0.0		1.0	1.0	7.0	2.0	1	0	1	0	0.0	2.0	0.0	
s483	28	3	71	185	0	240	1	0	25000	0.0			1.0		3.0	1	1	0	0	0.0	0.0	0.0	5.0
s484	38	2	70	180	0	120	3	1	27000	0.0		1.0	3.0	1.0	2.0	1	2	0	200	0.0	0.0	0.0	1.0
s488	28	2	70	215	0	36	3	0	30000	0.0		1.0	1.0	1.0	1.0	1	0	1	0	0.0	0.0	6.0	1.0
s489	34	4	62	166	0	162	5	2	130000	0.0	0	8.0	4.0	1.0	5.0	2	0	0	0	0.0	1.0	0.0	2.0
s490	46	3	69	160	3	50	5	2	15000	0.0		1.0	1.0	1.0	1.0	2	0	1	0	0.0	1.0	0.0	1.0
s491	44	3	60	160	1	204	2	1	44000	1.0	100	1.0	4.0	1.0	2.0	1	0	0	0	2.0	0.0	0.0	2.0
s492	30	3	72	320	0	48	5	2	70000	0.0		2.0	2.0	2.0	2.0	0	0	0	0	2.0	1.0	1.0	1.0
s500	46	6	67	190	0	60	4	0	107500	1.0	85	6.0	1.0	4.0	4.0	4	1	0	0	0.0	2.0	0.0	1.0
s501	34	4	63	115	0	124	4	2	12000	1.0	100	1.0	1.0	1.0	1.0	2	0	1	0	0.0	1.0	1.0	
s502	35	4	62	100	0	12	5	0	33330	1.0	0					2	0	0	3	0.0	3.0	0.0	
s503	38	3	68	190	1	115	5	5	55000	0.0		1.0	4.0	1.0	7.0	0	0	4	100	0.0	0.0	2.0	1.0
s504	41	5	57	260	0	15	3	0	40000	1.0	100	1.0	1.0	4.0	1.0	4	1	0	0	0.0	2.0	0.0	
s505	25	4	69	165	0	36	4	0	20000	0.0		5.0	1.0	5.0	2.0	1	0	1	0	0.0	1.0	0.0	1.0
s506	26	2	74	360	0	30	2	0	25000	0.0						0	12	0	0	0.0	0.0	0.0	
s507	33	4	69	220	0	168	2	1	62000	1.0	70		4.0	5.0	3.0	0	0	2	0	0.0	0.0	0.0	
s508	29	4	68	130	0	78	1	0	36000	0.0	0	1.0	1.0	4.0	4.0	0	0	0	0	0.0	0.0	0.0	1.0
s509	34	3	62	175	1	90	4	1	50000	1.0	10	1.0	1.0	1.0	3.0	1	0	1	0	0.0	2.0	0.0	1.0
s510	44	4	66	185	0	193	5	1	45000	0.0		1.0	1.0	1.0	1.0	2	0	0	0	1.0	1.0	2.0	1.0
s511	28	3	67	160	0	96	5	1	50000	0.0						2	0	2	0	0.0	0.0	2.0	
