worker	dospert_rt_survey_2	dospert_rt_survey_3	dospert_rt_survey_4	dospert_rt_survey_5	dospert_rt_survey_6	dospert_rt_survey_7	dospert_rt_survey_8	dospert_rt_survey_9	dospert_rt_survey_10	dospert_rt_survey_11	dospert_rt_survey_12	dospert_rt_survey_13	dospert_rt_survey_14	dospert_rt_survey_15	dospert_rt_survey_16	dospert_rt_survey_17	dospert_rt_survey_18	dospert_rt_survey_19	dospert_rt_survey_20	dospert_rt_survey_21	dospert_rt_survey_22	dospert_rt_survey_23	dospert_rt_survey_24	dospert_rt_survey_25	dospert_rt_survey_26	dospert_rt_survey_27	dospert_rt_survey_28	dospert_rt_survey_29	dospert_rt_survey_30	dospert_rt_survey_31
s277	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	7.0	1.0	1.0	1.0	5.0	1.0	1.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	3.0	1.0
s284	5.0	4.0	3.0	7.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	4.0	2.0	1.0	4.0	2.0	2.0	5.0	4.0	3.0	2.0	3.0	3.0	3.0	5.0	4.0	2.0
s285	6.0	1.0	1.0	6.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	5.0	5.0	1.0	1.0	1.0	3.0	3.0	5.0	1.0	1.0
s286	3.0	1.0	1.0	5.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	5.0	7.0	1.0	5.0	2.0	1.0	2.0	6.0	6.0	7.0	7.0	1.0	1.0
s290	6.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	4.0	4.0	3.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	2.0	7.0	4.0	2.0	6.0
s291	5.0	2.0	1.0	7.0	3.0	1.0	4.0	1.0	1.0	1.0	4.0	4.0	2.0	1.0	5.0	1.0	1.0	7.0	4.0	2.0	5.0	3.0	1.0	2.0	3.0	2.0	5.0	4.0	1.0	5.0
s293	6.0	2.0	2.0	3.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	1.0	1.0	3.0	5.0	5.0	1.0	1.0	2.0	2.0	6.0	1.0	5.0
s294	5.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	6.0	2.0	3.0	1.0	1.0	1.0	1.0	5.0	1.0	3.0
s295	7.0	6.0	1.0	5.0	2.0	4.0	6.0	1.0	4.0	1.0	1.0	5.0	4.0	1.0	6.0	2.0	5.0	6.0	2.0	1.0	7.0	7.0	1.0	3.0	4.0	5.0	7.0	4.0	1.0	4.0
s297	7.0	7.0	1.0	7.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	7.0	5.0	7.0	1.0	1.0	5.0	6.0	7.0	1.0	1.0
s301	7.0	7.0	1.0	2.0	1.0	1.0	5.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	5.0	3.0	1.0	1.0	6.0	3.0	3.0	2.0	1.0	1.0
s303	6.0	5.0	4.0	4.0	6.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	5.0	5.0	6.0	5.0	5.0	3.0	5.0	5.0	3.0	5.0	6.0	5.0	5.0	6.0	7.0	3.0	5.0	5.0
s305	7.0	1.0	1.0	1.0	4.0	2.0	5.0	2.0	1.0	2.0	1.0	2.0	1.0	5.0	7.0	1.0	2.0	1.0	1.0	1.0	7.0	6.0	1.0	1.0	1.0	5.0	6.0	5.0	1.0	4.0
s307	7.0	7.0	1.0	5.0	3.0	2.0	6.0	1.0	4.0	2.0	2.0	4.0	2.0	1.0	6.0	2.0	2.0	3.0	6.0	4.0	6.0	7.0	7.0	2.0	7.0	2.0	4.0	5.0	1.0	6.0
s309	6.0	6.0	4.0	6.0	4.0	4.0	5.0	5.0	1.0	1.0	4.0	5.0	2.0	3.0	1.0	1.0	3.0	5.0	6.0	5.0	5.0	4.0	1.0	5.0	5.0	3.0	6.0	6.0	1.0	1.0
s313	7.0	5.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	7.0	5.0	1.0	5.0	4.0	1.0	1.0	1.0	6.0	7.0	7.0	6.0	6.0	6.0
s314	5.0	5.0	2.0	3.0	2.0	1.0	4.0	3.0	1.0	1.0	2.0	3.0	4.0	2.0	3.0	2.0	6.0	3.0	3.0	6.0	3.0	3.0	4.0	4.0	2.0	3.0	6.0	4.0	2.0	4.0
s316	7.0	5.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	6.0	4.0	2.0	1.0	1.0	2.0	7.0	7.0	2.0	1.0
s326	5.0	6.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	2.0	4.0	4.0	1.0	5.0	1.0	5.0	4.0	3.0	3.0	6.0	5.0	5.0	2.0	2.0	6.0	6.0	6.0	1.0	6.0
s327	7.0	7.0	3.0	2.0	4.0	2.0	5.0	2.0	1.0	1.0	2.0	2.0	5.0	5.0	3.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	3.0	1.0	1.0	5.0	7.0	7.0	1.0	2.0
s328	6.0	5.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	4.0	5.0	1.0	5.0	6.0	1.0	1.0	6.0	1.0	5.0	3.0	1.0	1.0
s329	7.0	5.0	1.0	5.0	3.0	2.0	7.0	1.0	1.0	1.0	3.0	4.0	3.0	1.0	3.0	3.0	1.0	4.0	1.0	1.0	6.0	7.0	1.0	1.0	1.0	2.0	7.0	7.0	1.0	1.0
s332	5.0	6.0	4.0	5.0	1.0	4.0	5.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0
s333	7.0	5.0	2.0	6.0	1.0	2.0	5.0	3.0	1.0	2.0	1.0	3.0	1.0	1.0	4.0	2.0	1.0	3.0	1.0	1.0	6.0	6.0	3.0	2.0	3.0	1.0	6.0	6.0	3.0	2.0
s334	6.0	7.0	1.0	6.0	1.0	4.0	5.0	1.0	1.0	1.0	1.0	2.0	5.0	1.0	7.0	4.0	1.0	4.0	7.0	1.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0
s336	5.0	2.0	2.0	6.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	1.0	5.0	4.0	3.0	2.0	2.0	2.0	3.0	4.0	3.0	2.0
s339	6.0	6.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	6.0	5.0	5.0	1.0	3.0	1.0	7.0	7.0	1.0	1.0
s343	4.0	2.0	1.0	4.0	3.0	3.0	4.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	5.0	2.0	3.0	2.0	2.0	1.0	4.0	5.0	2.0	1.0	1.0	3.0	6.0	5.0	1.0	4.0
s346	7.0	6.0	1.0	6.0	1.0	2.0	7.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	3.0	5.0	6.0	3.0	5.0	7.0	1.0	2.0	6.0	5.0	6.0	6.0	1.0	1.0
s351	6.0	5.0	2.0	3.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	3.0	4.0	1.0	1.0	5.0	4.0	4.0	1.0	1.0	4.0	5.0	5.0	2.0	2.0
s352	7.0	7.0	1.0	1.0	3.0	1.0	7.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	5.0	1.0	6.0	1.0	1.0	1.0	7.0	6.0	6.0	1.0	1.0	1.0	7.0	6.0	1.0	1.0
s357	7.0	7.0	1.0	7.0	1.0	2.0	6.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	2.0	1.0	4.0	1.0	7.0	6.0	6.0	2.0	1.0	4.0	2.0	7.0	6.0	1.0	1.0
s359	5.0	4.0	3.0	5.0	4.0	3.0	3.0	3.0	1.0	4.0	4.0	4.0	5.0	4.0	1.0	3.0	1.0	4.0	5.0	1.0	5.0	2.0	1.0	1.0	5.0	3.0	2.0	2.0	1.0	1.0
s365	5.0	7.0	2.0	6.0	2.0	1.0	4.0	2.0	1.0	1.0	4.0	6.0	6.0	7.0	5.0	1.0	1.0	4.0	5.0	2.0	6.0	5.0	7.0	5.0	5.0	7.0	7.0	6.0	1.0	4.0
s368	7.0	5.0	1.0	6.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	5.0	4.0	1.0	1.0	4.0	6.0	1.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0
s369	5.0	5.0	1.0	4.0	5.0	1.0	5.0	3.0	3.0	1.0	2.0	3.0	3.0	6.0	2.0	2.0	1.0	5.0	2.0	1.0	6.0	5.0	5.0	1.0	1.0	2.0	7.0	6.0	1.0	2.0
s372	5.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	6.0	4.0	1.0	1.0
s373	4.0	4.0	2.0	4.0	1.0	2.0	5.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	4.0	3.0	3.0	3.0	4.0	5.0	3.0	2.0	2.0	3.0	2.0	4.0	4.0	1.0	2.0
s376	5.0	4.0	2.0	5.0	2.0	4.0	3.0	2.0	4.0	2.0	2.0	4.0	2.0	2.0	4.0	3.0	5.0	5.0	1.0	2.0	4.0	4.0	5.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0
s380	6.0	6.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	6.0	4.0	1.0	1.0	1.0	1.0	4.0	6.0	1.0	1.0
s383	6.0	7.0	1.0	4.0	3.0	3.0	5.0	2.0	1.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	5.0	5.0	5.0	5.0	1.0	2.0	2.0	6.0	5.0	3.0	4.0
s388	7.0	7.0	4.0	4.0	5.0	2.0	5.0	3.0	1.0	1.0	3.0	2.0	5.0	2.0	4.0	2.0	1.0	4.0	5.0	4.0	7.0	6.0	3.0	5.0	6.0	5.0	7.0	6.0	3.0	2.0
s391	7.0	2.0	1.0	5.0	3.0	1.0	7.0	1.0	2.0	1.0	1.0	5.0	2.0	1.0	1.0	3.0	1.0	5.0	2.0	1.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	7.0
s396	6.0	3.0	2.0	5.0	2.0	1.0	3.0	1.0	3.0	2.0	3.0	4.0	2.0	2.0	7.0	3.0	1.0	2.0	1.0	1.0	5.0	4.0	3.0	1.0	5.0	3.0	7.0	5.0	1.0	1.0
s397	5.0	5.0	2.0	5.0	3.0	3.0	5.0	2.0	2.0	3.0	1.0	1.0	2.0	2.0	3.0	3.0	1.0	2.0	2.0	1.0	5.0	4.0	5.0	2.0	2.0	2.0	6.0	5.0	2.0	3.0
s402	7.0	6.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	5.0	1.0	1.0	1.0	5.0	5.0	6.0	1.0	5.0	1.0	5.0	6.0	1.0	1.0
s403	6.0	1.0	1.0	5.0	1.0	2.0	4.0	1.0	2.0	2.0	1.0	6.0	1.0	1.0	4.0	5.0	1.0	2.0	1.0	1.0	5.0	2.0	3.0	1.0	1.0	3.0	5.0	6.0	1.0	6.0
s408	7.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	4.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0
s409	5.0	1.0	1.0	5.0	1.0	2.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	5.0	1.0	1.0	7.0	5.0	3.0	1.0	1.0	2.0	2.0	5.0	1.0	3.0
s411	6.0	2.0	2.0	2.0	3.0	2.0	5.0	2.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0	2.0	2.0	1.0	2.0	3.0	4.0	3.0	1.0	1.0	2.0	4.0	2.0	1.0	1.0
s420	7.0	7.0	1.0	1.0	7.0	1.0	3.0	1.0	1.0	1.0	5.0	1.0	5.0	1.0	1.0	2.0	1.0	1.0	7.0	1.0	7.0	2.0	5.0	1.0	7.0	1.0	7.0	7.0	1.0	1.0
s425	6.0	5.0	3.0	2.0	5.0	4.0	3.0	2.0	4.0	1.0	1.0	2.0	1.0	2.0	5.0	2.0	1.0	2.0	1.0	1.0	5.0	5.0	1.0	1.0	1.0	3.0	4.0	5.0	1.0	4.0
s427	6.0	7.0	2.0	7.0	3.0	3.0	3.0	2.0	1.0	2.0	3.0	6.0	6.0	3.0	1.0	2.0	1.0	4.0	1.0	1.0	3.0	4.0	6.0	1.0	2.0	3.0	2.0	4.0	1.0	2.0
s429	6.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	1.0	6.0	5.0	5.0	7.0	1.0	1.0	7.0	5.0	5.0	6.0	5.0	5.0	6.0	4.0	6.0	6.0	6.0	6.0	5.0	2.0
s430	6.0	6.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	6.0	1.0	3.0	3.0	2.0	1.0	1.0	1.0	6.0	3.0	2.0	1.0	1.0	2.0	1.0	6.0	1.0	1.0
s434	6.0	5.0	1.0	5.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	7.0	2.0	1.0	2.0	1.0	1.0	6.0	6.0	6.0	1.0	2.0	2.0	5.0	6.0	1.0	6.0
s441	7.0	7.0	1.0	2.0	7.0	1.0	5.0	1.0	1.0	1.0	1.0	3.0	7.0	1.0	6.0	1.0	1.0	4.0	1.0	1.0	7.0	7.0	1.0	1.0	1.0	6.0	7.0	7.0	1.0	4.0
s446	5.0	6.0	1.0	4.0	3.0	5.0	6.0	1.0	4.0	2.0	1.0	1.0	2.0	1.0	7.0	3.0	2.0	4.0	6.0	3.0	5.0	2.0	5.0	6.0	5.0	2.0	6.0	3.0	5.0	4.0
s449	6.0	7.0	2.0	6.0	5.0	3.0	5.0	1.0	1.0	2.0	4.0	3.0	1.0	1.0	3.0	2.0	2.0	3.0	1.0	1.0	7.0	5.0	4.0	1.0	2.0	2.0	7.0	6.0	2.0	3.0
s450	6.0	6.0	1.0	5.0	2.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	5.0	3.0	1.0	6.0	2.0	3.0	5.0	2.0	1.0	6.0	6.0	1.0	2.0
s451	6.0	1.0	1.0	2.0	1.0	1.0	4.0	2.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	1.0	1.0	7.0	5.0	2.0	1.0	1.0	7.0	7.0	7.0	1.0	1.0
s453	5.0	7.0	1.0	4.0	5.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	5.0	1.0	1.0	2.0	6.0	5.0	1.0	7.0	2.0	4.0	3.0	1.0	1.0	1.0	5.0	6.0	1.0	1.0
s456	7.0	5.0	5.0	4.0	3.0	3.0	5.0	5.0	4.0	1.0	1.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	6.0	2.0	2.0	2.0	4.0	3.0	7.0	1.0	5.0	4.0	1.0	5.0
s459	7.0	3.0	1.0	3.0	6.0	2.0	5.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	5.0	5.0	2.0	4.0	1.0	1.0	7.0	6.0	2.0	1.0	2.0	2.0	6.0	4.0	2.0	5.0
s461	7.0	7.0	1.0	6.0	5.0	2.0	6.0	1.0	1.0	2.0	4.0	5.0	7.0	1.0	3.0	2.0	3.0	5.0	6.0	5.0	7.0	6.0	5.0	7.0	6.0	4.0	7.0	7.0	1.0	1.0
s462	7.0	5.0	1.0	3.0	6.0	1.0	3.0	1.0	7.0	1.0	1.0	2.0	5.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	6.0	3.0	5.0	1.0	7.0	2.0	7.0	6.0	1.0	3.0
s467	2.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	4.0
s468	5.0	4.0	1.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	6.0	4.0	2.0	1.0	1.0	2.0	4.0	4.0	1.0	7.0
s469	6.0	7.0	1.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	2.0	3.0	3.0	1.0	2.0	5.0	5.0	2.0	1.0	1.0	3.0	4.0	5.0	4.0	7.0
s471	5.0	2.0	1.0	5.0	2.0	3.0	3.0	1.0	3.0	2.0	5.0	5.0	2.0	3.0	5.0	2.0	2.0	4.0	1.0	1.0	5.0	5.0	2.0	1.0	6.0	2.0	7.0	5.0	2.0	1.0
s473	5.0	5.0	2.0	5.0	2.0	4.0	4.0	2.0	3.0	2.0	1.0	4.0	4.0	2.0	3.0	4.0	1.0	4.0	3.0	1.0	4.0	4.0	4.0	2.0	3.0	2.0	4.0	3.0	3.0	5.0
s475	3.0	1.0	3.0	5.0	6.0	2.0	1.0	3.0	2.0	3.0	2.0	5.0	5.0	3.0	7.0	5.0	3.0	5.0	5.0	6.0	5.0	5.0	2.0	5.0	3.0	5.0	1.0	5.0	1.0	5.0
s477	7.0	7.0	1.0	3.0	5.0	7.0	7.0	2.0	3.0	1.0	3.0	3.0	1.0	1.0	6.0	2.0	2.0	2.0	3.0	3.0	7.0	5.0	7.0	1.0	5.0	5.0	5.0	7.0	1.0	5.0
s481	6.0	6.0	1.0	4.0	6.0	5.0	3.0	1.0	4.0	5.0	4.0	2.0	5.0	1.0	5.0	6.0	2.0	2.0	4.0	1.0	6.0	3.0	4.0	1.0	3.0	4.0	5.0	5.0	2.0	6.0
s483	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	5.0	1.0	2.0	1.0	1.0	1.0	6.0	6.0	1.0	2.0
s484	5.0	1.0	2.0	4.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	4.0	2.0	1.0	4.0	5.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	2.0
s488	5.0	5.0	3.0	4.0	3.0	4.0	3.0	4.0	1.0	1.0	2.0	2.0	3.0	3.0	5.0	3.0	5.0	3.0	2.0	3.0	3.0	3.0	5.0	4.0	2.0	2.0	3.0	5.0	3.0	5.0
s489	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	4.0
s490	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	4.0	1.0	3.0	3.0	1.0	1.0	3.0	4.0	5.0	5.0	7.0	7.0	6.0	6.0	7.0	6.0	4.0	3.0
s491	7.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0
s492	6.0	7.0	1.0	3.0	4.0	1.0	5.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	6.0	3.0	5.0	1.0	6.0	5.0	5.0	6.0	1.0	1.0	4.0	4.0	2.0	2.0	1.0	7.0
s500	6.0	3.0	4.0	7.0	2.0	3.0	4.0	2.0	2.0	2.0	1.0	7.0	5.0	5.0	3.0	2.0	2.0	3.0	3.0	1.0	3.0	5.0	3.0	4.0	2.0	2.0	6.0	6.0	1.0	2.0
s501	6.0	5.0	1.0	3.0	3.0	1.0	3.0	1.0	2.0	3.0	1.0	1.0	3.0	1.0	2.0	5.0	1.0	2.0	1.0	1.0	5.0	5.0	5.0	1.0	1.0	1.0	2.0	5.0	1.0	2.0
s502	6.0	5.0	1.0	1.0	5.0	1.0	5.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	5.0	5.0	1.0	3.0	5.0	1.0	5.0	5.0	5.0	2.0	5.0	1.0	3.0	6.0	1.0	6.0
s503	6.0	5.0	2.0	2.0	2.0	1.0	4.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	4.0	4.0	2.0	1.0	1.0	1.0	4.0	5.0	1.0	2.0
s504	5.0	4.0	1.0	6.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	5.0	1.0	1.0	5.0	1.0	1.0	2.0	1.0	1.0	5.0	2.0	2.0	1.0	1.0	2.0	3.0	5.0	1.0	2.0
s505	5.0	5.0	4.0	5.0	5.0	4.0	3.0	4.0	2.0	3.0	1.0	5.0	1.0	2.0	4.0	3.0	2.0	4.0	1.0	1.0	6.0	3.0	3.0	1.0	1.0	2.0	7.0	3.0	2.0	5.0
s506	5.0	7.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	3.0	1.0	3.0	3.0	4.0	3.0	1.0	6.0
s507	5.0	3.0	1.0	3.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	3.0	4.0	1.0	2.0	2.0	1.0	6.0	3.0	2.0	2.0	2.0	1.0	7.0	5.0	1.0	3.0
s508	7.0	6.0	1.0	6.0	1.0	5.0	6.0	1.0	6.0	1.0	1.0	6.0	5.0	1.0	7.0	2.0	7.0	5.0	6.0	1.0	6.0	6.0	6.0	1.0	6.0	5.0	6.0	6.0	1.0	6.0
s509	6.0	2.0	1.0	4.0	3.0	1.0	5.0	1.0	5.0	1.0	1.0	4.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	6.0	3.0	5.0	1.0	3.0	3.0	6.0	7.0	1.0	1.0
s510	7.0	6.0	1.0	2.0	6.0	5.0	6.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	6.0	4.0	6.0	1.0	1.0	2.0	5.0	7.0	5.0	1.0	1.0	6.0	7.0	6.0	1.0	1.0
s511	7.0	3.0	1.0	4.0	1.0	4.0	6.0	1.0	2.0	1.0	1.0	1.0	4.0	1.0	7.0	4.0	1.0	2.0	2.0	2.0	4.0	7.0	1.0	2.0	2.0	6.0	7.0	4.0	1.0	1.0
