worker	dospert_eb_survey_2	dospert_eb_survey_3	dospert_eb_survey_4	dospert_eb_survey_5	dospert_eb_survey_6	dospert_eb_survey_7	dospert_eb_survey_8	dospert_eb_survey_9	dospert_eb_survey_10	dospert_eb_survey_11	dospert_eb_survey_12	dospert_eb_survey_13	dospert_eb_survey_14	dospert_eb_survey_15	dospert_eb_survey_16	dospert_eb_survey_17	dospert_eb_survey_18	dospert_eb_survey_19	dospert_eb_survey_20	dospert_eb_survey_21	dospert_eb_survey_22	dospert_eb_survey_23	dospert_eb_survey_24	dospert_eb_survey_25	dospert_eb_survey_26	dospert_eb_survey_27	dospert_eb_survey_28	dospert_eb_survey_29	dospert_eb_survey_30	dospert_eb_survey_31
s430	3.0	5.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	3.0	1.0	1.0	1.0	2.0	2.0	6.0	1.0	1.0
s434	6.0	5.0	2.0	6.0	1.0	4.0	3.0	2.0	3.0	4.0	1.0	2.0	2.0	2.0	5.0	2.0	1.0	4.0	5.0	2.0	6.0	3.0	4.0	2.0	4.0	1.0	3.0	6.0	3.0	4.0
s441	1.0	6.0	1.0	4.0	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	6.0	2.0	1.0	1.0	4.0	1.0	7.0	6.0	1.0	5.0
s446	3.0	4.0	2.0	4.0	2.0	4.0	3.0	2.0	4.0	5.0	1.0	2.0	2.0	2.0	6.0	2.0	1.0	4.0	5.0	4.0	5.0	2.0	3.0	4.0	2.0	1.0	5.0	4.0	5.0	3.0
s449	4.0	6.0	2.0	5.0	3.0	2.0	3.0	1.0	1.0	2.0	3.0	3.0	4.0	2.0	3.0	3.0	1.0	5.0	2.0	1.0	7.0	4.0	3.0	2.0	2.0	3.0	5.0	5.0	2.0	5.0
s450	5.0	5.0	2.0	6.0	2.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	4.0	2.0	1.0	6.0	2.0	1.0	2.0	2.0	1.0	5.0	3.0	1.0	2.0
s451	3.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	4.0	1.0	1.0	7.0	5.0	1.0	1.0	1.0	2.0	7.0	7.0	1.0	2.0
s453	1.0	7.0	4.0	4.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	4.0	5.0	4.0	1.0	1.0	1.0	3.0	1.0	6.0	5.0	4.0	1.0	1.0	4.0	1.0	4.0	4.0	1.0	1.0
s456	2.0	5.0	4.0	5.0	5.0	3.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	3.0	1.0	1.0	1.0	5.0	4.0	4.0	5.0	3.0	1.0	3.0	5.0	1.0	2.0	3.0	1.0	4.0
s459	3.0	4.0	4.0	5.0	4.0	2.0	3.0	5.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	2.0	1.0	6.0	2.0	1.0	6.0	4.0	1.0	2.0	5.0	2.0	4.0	6.0	2.0	4.0
s461	5.0	7.0	2.0	7.0	3.0	1.0	4.0	1.0	1.0	1.0	3.0	4.0	7.0	1.0	1.0	1.0	1.0	4.0	7.0	4.0	7.0	6.0	1.0	7.0	7.0	1.0	7.0	6.0	1.0	1.0
s462	4.0	6.0	3.0	4.0	4.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	4.0	1.0	5.0	2.0	2.0	4.0	7.0	2.0	7.0	4.0	2.0	4.0	7.0	3.0	5.0	6.0	1.0	3.0
