worker	future_time_perspective_survey_2	future_time_perspective_survey_3	future_time_perspective_survey_4	future_time_perspective_survey_5	future_time_perspective_survey_6	future_time_perspective_survey_7	future_time_perspective_survey_8	future_time_perspective_survey_9	future_time_perspective_survey_10	future_time_perspective_survey_11
s450	3.0	5.0	3.0	2.0	2.0	2.0	5.0	3.0	6.0	3.0
s451	5.0	6.0	5.0	4.0	4.0	5.0	4.0	1.0	1.0	5.0
s453	7.0	6.0	7.0	7.0	5.0	7.0	6.0	1.0	1.0	4.0
s456	5.0	5.0	7.0	5.0	5.0	6.0	4.0	5.0	5.0	7.0
s459	6.0	5.0	5.0	6.0	6.0	6.0	4.0	2.0	3.0	5.0
s461	6.0	6.0	6.0	5.0	4.0	5.0	6.0	3.0	2.0	3.0
s462	7.0	7.0	7.0	6.0	3.0	6.0	7.0	4.0	3.0	5.0
s467	5.0	5.0	5.0	3.0	3.0	5.0	5.0	5.0	3.0	6.0
s468	7.0	7.0	6.0	6.0	6.0	5.0	5.0	2.0	2.0	2.0
s469	5.0	5.0	6.0	4.0	4.0	5.0	5.0	2.0	3.0	4.0
s471	5.0	4.0	5.0	5.0	4.0	6.0	5.0	3.0	5.0	5.0
s473	7.0	5.0	6.0	4.0	5.0	5.0	5.0	4.0	3.0	5.0
s475	6.0	7.0	6.0	7.0	5.0	5.0	6.0	6.0	4.0	6.0
s477	1.0	2.0	1.0	2.0	1.0	1.0	2.0	7.0	7.0	7.0
s481	3.0	3.0	3.0	4.0	3.0	4.0	4.0	5.0	4.0	5.0
s483	1.0	2.0	1.0	1.0	1.0	1.0	1.0	6.0	7.0	6.0
s484	4.0	4.0	4.0	4.0	2.0	4.0	4.0	5.0	4.0	5.0
s488	6.0	5.0	5.0	5.0	5.0	5.0	6.0	4.0	3.0	6.0
s489	5.0	5.0	5.0	3.0	1.0	2.0	4.0	7.0	5.0	7.0
s490	6.0	6.0	6.0	4.0	3.0	4.0	7.0	3.0	4.0	5.0
s491	4.0	4.0	3.0	3.0	3.0	2.0	2.0	7.0	7.0	7.0
s492	7.0	6.0	7.0	5.0	4.0	4.0	3.0	5.0	4.0	6.0
s500	4.0	6.0	4.0	3.0	2.0	3.0	5.0	2.0	3.0	5.0
s501	6.0	6.0	6.0	6.0	5.0	6.0	5.0	4.0	3.0	5.0
s502	7.0	7.0	7.0	7.0	7.0	7.0	6.0	2.0	2.0	2.0
s503	5.0	6.0	6.0	6.0	6.0	6.0	6.0	2.0	2.0	3.0
s504	5.0	6.0	6.0	5.0	5.0	5.0	6.0	2.0	2.0	3.0
s505	6.0	6.0	7.0	7.0	7.0	7.0	7.0	3.0	2.0	4.0
s506	5.0	5.0	6.0	5.0	6.0	6.0	6.0	4.0	1.0	4.0
s507	3.0	3.0	4.0	5.0	1.0	3.0	5.0	4.0	5.0	7.0
s508	3.0	3.0	3.0	2.0	2.0	2.0	3.0	7.0	7.0	7.0
s509	7.0	7.0	7.0	7.0	7.0	7.0	5.0	1.0	1.0	2.0
s510	5.0	6.0	5.0	4.0	6.0	4.0	5.0	2.0	2.0	2.0
s511	5.0	5.0	5.0	4.0	1.0	7.0	5.0	7.0	4.0	7.0
