worker	self_regulation_survey_2	self_regulation_survey_3	self_regulation_survey_4	self_regulation_survey_5	self_regulation_survey_6	self_regulation_survey_7	self_regulation_survey_8	self_regulation_survey_9	self_regulation_survey_10	self_regulation_survey_11	self_regulation_survey_12	self_regulation_survey_13	self_regulation_survey_14	self_regulation_survey_15	self_regulation_survey_16	self_regulation_survey_17	self_regulation_survey_18	self_regulation_survey_19	self_regulation_survey_20	self_regulation_survey_21	self_regulation_survey_22	self_regulation_survey_23	self_regulation_survey_25	self_regulation_survey_26	self_regulation_survey_27	self_regulation_survey_28	self_regulation_survey_29	self_regulation_survey_30	self_regulation_survey_31	self_regulation_survey_32
s027	3.0	1.0	4.0	3.0	4.0	4.0	3.0	4.0	5.0	4.0	2.0	4.0	4.0	5.0	3.0	2.0	4.0	3.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	3.0	5.0	4.0	4.0
s028	4.0	3.0	2.0	3.0	2.0	2.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0
s029	2.0	3.0	2.0	2.0	1.0	2.0	4.0	1.0	3.0	4.0	2.0	3.0	4.0	4.0	3.0	1.0	4.0	2.0	2.0	3.0	4.0	2.0	2.0	1.5	3.0	2.0	3.0	4.0	3.0	2.0
s032	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0
s034	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0
s042	4.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	2.0	4.0	5.0	4.0	4.0	4.0	3.0	2.0	3.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0
s047	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0
s049	4.0	4.0	4.0	2.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	3.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0
s056	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0
s060	4.0	2.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	5.0	4.0	3.0	5.0	4.0	4.0
s062	4.0	1.0	4.0	2.0	3.0	3.0	3.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	1.0	2.0	5.0	4.0	5.0	3.0	5.0	3.0	4.0
s063	5.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	3.0	4.0	5.0	4.0	4.0	4.0	2.0	2.0
s065	2.0	1.0	1.0	3.0	2.0	1.0	4.0	5.0	3.0	2.0	2.0	4.0	2.0	4.0	3.0	2.0	3.0	1.0	2.0	4.0	3.0	2.0	1.0	2.0	2.0	2.0	3.0	4.0	2.0	1.0
s066	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	2.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0
s071	4.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s077	5.0	5.0	5.0	5.0	5.0	1.0	4.0	5.0	5.0	4.0	5.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0
s081	5.0	2.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	2.0	4.0	2.0	2.0	3.0	5.0	4.0	3.0	5.0	5.0	3.0	4.0	5.0	2.0	4.0
s082	5.0	4.0	4.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	2.0	4.0	3.0	5.0
s083	4.0	2.0	2.0	4.0	1.0	1.0	4.0	2.0	4.0	1.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	2.0	5.0	4.0	5.0	2.0	2.0
s084	4.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s085	5.0	4.0	5.0	5.0	4.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	2.0	4.0	4.0	4.0	4.0	3.0	3.0
s086	4.0	5.0	5.0	3.0	5.0	2.0	4.0	2.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	2.0	4.0	5.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0
s089	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.5	4.0	5.0	4.0	5.0	2.0	4.0
s091	2.0	2.0	4.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	2.0	4.0	4.0	4.0	3.0	3.0
s092	4.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	2.0	3.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0
s093	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	3.0	3.0	4.0	2.0	4.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0
s094	4.0	4.0	4.0	5.0	4.0	2.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
s096	4.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0
s097	5.0	2.0	2.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	2.0	2.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0
s098	5.0	1.0	5.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	1.0	2.0	3.5	5.0	5.0	5.0	5.0	4.0	5.0
s099	4.0	5.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0
s102	4.0	1.0	4.0	3.0	4.0	4.0	5.0	2.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	2.0	3.0	4.0	4.0	4.0	3.0	1.0	1.0	4.5	4.0	4.0	3.0	4.0	3.0	3.0
s103	2.0	4.0	2.0	2.0	1.0	2.0	4.0	4.0	5.0	2.0	4.0	2.0	2.0	4.0	4.0	1.0	4.0	1.0	2.0	4.0	5.0	4.0	2.0	4.0	4.0	2.0	2.0	4.0	2.0	2.0
s105	5.0	1.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0
s106	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s107	4.0	3.0	2.0	2.0	3.0	3.0	3.0	4.0	3.0	4.0	5.0	2.0	3.0	4.0	3.0	3.0	3.0	2.0	2.0	3.0	4.0	2.0	4.0	3.5	4.0	3.0	4.0	5.0	3.0	3.0
s108	2.0	2.0	1.0	2.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0	2.0
s109	4.0	2.0	5.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	5.0	2.0	2.0	3.0	5.0	4.0	4.0	4.0	4.0	4.0
s110	4.0	2.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	3.0	4.0	4.0	3.0	5.0	3.0	3.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0
s111	5.0	2.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	4.0	2.0	2.0	4.0	5.0	4.0	1.0	4.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	4.0	5.0	5.0	5.0	2.0	2.0
s112	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.5	4.0	5.0	4.0	4.0	4.0	4.0
s114	5.0	2.0	5.0	2.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	2.0	2.0	5.0	3.0	4.0	5.0	4.0	2.0	4.0	5.0	5.0	4.0	4.0	5.0	3.0	4.0
s123	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0
s128	4.0	2.0	2.0	2.0	5.0	4.0	3.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	2.0	4.0	4.0	4.0	4.0	3.0	4.0
s129	5.0	3.0	5.0	2.0	5.0	4.0	4.0	5.0	5.0	5.0	3.0	3.0	4.0	5.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	2.0	5.0	5.0	3.0	4.0	5.0	3.0	4.0
s131	5.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	2.0	2.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0
s135	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	3.0	5.0	2.0	5.0	4.0	5.0	4.0	4.0
s140	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s142	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	2.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	3.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	4.0	5.0	2.0
s145	4.0	3.0	3.0	2.0	5.0	4.0	2.0	4.0	5.0	4.0	3.0	4.0	4.0	5.0	3.0	2.0	4.0	3.0	4.0	3.0	4.0	3.0	2.0	5.0	3.0	2.0	3.0	5.0	1.0	2.0
s149	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	3.0	2.0	4.0	4.0	3.0	4.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	4.0	3.0	3.0
s155	5.0	5.0	3.0	4.0	4.0	3.0	4.0	5.0	4.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	1.0	1.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0
s156	5.0	5.0	5.0	5.0	5.0	2.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0
s161	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	2.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0
s163	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s165	4.0	5.0	5.0	4.0	5.0	2.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0
s168	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s170	5.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	3.0	4.0	5.0	4.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0
s173	5.0	3.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0
s179	5.0	2.0	2.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	4.0	4.0	3.0	5.0	2.0	2.0	4.5	5.0	5.0	5.0	5.0	5.0	2.0
s180	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0
s182	4.0	2.0	4.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0	2.0	3.0	2.0	2.0
s184	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	2.0
s186	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	3.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0
s187	3.0	1.0	2.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	2.0	4.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0	3.0	4.0
s188	5.0	2.0	4.0	2.0	4.0	1.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	3.0	3.0	4.5	5.0	4.0	5.0	5.0	4.0	4.0
s190	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0
s192	4.0	2.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	2.0	2.0	4.0	2.0	2.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0
s196	4.0	3.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0
s198	4.0	4.0	5.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s202	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0
s205	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s206	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0
s207	5.0	4.0	5.0	5.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0
s208	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	4.0	3.0	1.0	4.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	3.0	2.0	1.0
s209	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0
s210	4.0	4.0	2.0	4.0	3.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	3.0
s212	4.0	1.0	4.0	3.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	5.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0
s216	4.0	4.0	2.0	5.0	2.0	2.0	4.0	4.0	5.0	2.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	2.0	5.0	4.0	4.0	3.0	4.0	2.0	2.0
s218	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s226	4.0	3.0	4.0	2.0	2.0	1.0	5.0	4.0	1.0	2.0	5.0	2.0	5.0	5.0	5.0	5.0	2.0	4.0	3.0	2.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	3.0	2.0
s228	4.0	1.0	2.0	2.0	2.0	2.0	1.0	3.0	5.0	3.0	1.0	4.0	3.0	4.0	4.0	2.0	4.0	3.0	4.0	5.0	3.0	1.0	1.0	3.5	3.0	3.0	2.0	5.0	1.0	1.0
s233	4.0	1.0	1.0	2.0	4.0	4.0	4.0	4.0	5.0	5.0	1.0	5.0	3.0	5.0	5.0	4.0	2.0	4.0	4.0	4.0	5.0	1.0	1.0	5.0	2.0	5.0	1.0	5.0	1.0	1.0
s237	4.0	3.0	2.0	3.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0
s238	5.0	5.0	5.0	5.0	5.0	1.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0
s244	4.0	2.0	4.0	3.0	2.0	2.0	4.0	5.0	4.0	2.0	3.0	2.0	4.0	4.0	4.0	2.0	2.0	2.0	2.0	4.0	4.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	3.0	3.0
s246	3.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	4.0	4.0	4.0	3.0	2.0	2.0
s249	4.0	3.0	4.0	3.0	5.0	2.0	4.0	3.0	5.0	4.0	4.0	5.0	4.0	4.0	3.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	2.0	5.0	4.0
s252	4.0	5.0	1.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	3.0
s254	5.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0
s259	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s262	4.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0
s264	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	2.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s265	2.0	2.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	5.0	5.0	4.0	4.0	4.0	1.0	1.0
s269	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	2.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0
s273	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	3.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0
s275	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s277	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	4.0	1.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
