worker	mindful_attention_awareness_survey_2	mindful_attention_awareness_survey_3	mindful_attention_awareness_survey_4	mindful_attention_awareness_survey_5	mindful_attention_awareness_survey_6	mindful_attention_awareness_survey_7	mindful_attention_awareness_survey_8	mindful_attention_awareness_survey_9	mindful_attention_awareness_survey_10	mindful_attention_awareness_survey_11	mindful_attention_awareness_survey_12	mindful_attention_awareness_survey_13	mindful_attention_awareness_survey_14	mindful_attention_awareness_survey_15	mindful_attention_awareness_survey_16
s265	3.0	3.0	4.0	3.0	5.0	4.0	3.0	3.0	3.0	5.0	4.0	3.0	2.0	3.0	6.0
s269	4.0	5.0	5.0	4.0	3.0	1.0	2.0	5.0	3.0	3.0	2.0	4.0	5.0	3.0	6.0
s273	5.0	6.0	4.0	4.0	6.0	6.0	5.0	5.0	3.0	5.0	4.0	6.0	5.0	5.0	5.0
s275	5.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0
s277	2.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	6.0	4.0	5.0	4.0	6.0	6.0
s284	4.0	6.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0
s285	5.0	6.0	3.0	5.0	4.0	3.0	4.0	5.0	5.0	5.0	4.0	6.0	3.0	5.0	5.0
s286	6.0	6.0	4.0	5.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	5.0	6.0	6.0	5.0
s290	5.0	6.0	5.0	6.0	5.0	5.0	6.0	5.0	5.0	6.0	5.0	6.0	5.0	5.0	6.0
s291	5.0	6.0	6.0	6.0	6.0	5.0	6.0	6.0	5.0	6.0	3.0	6.0	3.0	6.0	6.0
s293	5.0	4.0	3.0	2.0	3.0	1.0	3.0	4.0	3.0	4.0	2.0	6.0	2.0	2.0	6.0
s294	4.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	6.0	2.0	3.0	2.0
s295	6.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	3.0	5.0	4.0	5.0	3.0	5.0	6.0
s297	5.0	4.0	6.0	2.0	5.0	3.0	4.0	5.0	4.0	5.0	2.0	6.0	2.0	4.0	5.0
s301	6.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	6.0	5.0	6.0	5.0	5.0	5.0
