worker	dospert_rp_survey_2	dospert_rp_survey_3	dospert_rp_survey_4	dospert_rp_survey_5	dospert_rp_survey_6	dospert_rp_survey_7	dospert_rp_survey_8	dospert_rp_survey_9	dospert_rp_survey_10	dospert_rp_survey_11	dospert_rp_survey_12	dospert_rp_survey_13	dospert_rp_survey_14	dospert_rp_survey_15	dospert_rp_survey_16	dospert_rp_survey_17	dospert_rp_survey_18	dospert_rp_survey_19	dospert_rp_survey_20	dospert_rp_survey_21	dospert_rp_survey_22	dospert_rp_survey_23	dospert_rp_survey_24	dospert_rp_survey_25	dospert_rp_survey_26	dospert_rp_survey_27	dospert_rp_survey_28	dospert_rp_survey_29	dospert_rp_survey_30	dospert_rp_survey_31
s063	2.0	2.0	7.0	2.0	7.0	4.0	5.0	7.0	7.0	6.0	7.0	2.0	2.0	7.0	4.0	4.0	7.0	3.0	7.0	7.0	3.0	3.0	5.0	7.0	7.0	5.0	2.0	2.0	6.0	3.0
s065	2.0	4.0	5.0	4.0	3.0	7.0	4.0	5.0	6.0	3.0	7.0	6.0	6.0	6.0	7.0	4.0	7.0	6.0	4.0	7.0	5.0	3.0	4.0	5.0	6.0	5.0	2.0	2.0	5.0	2.0
s066	1.0	6.0	7.0	5.0	7.0	7.0	3.0	7.0	6.0	7.0	7.0	5.0	7.0	7.0	5.0	2.0	5.0	4.0	5.0	7.0	4.0	1.0	5.0	7.0	5.0	6.0	1.0	2.0	7.0	2.0
s071	2.0	2.0	4.0	3.0	4.0	5.0	4.0	4.0	6.0	4.0	3.0	3.0	3.0	4.0	6.0	3.0	5.0	3.0	5.0	6.0	2.0	2.0	5.0	5.0	3.0	3.0	2.0	2.0	6.0	4.0
s077	1.0	2.0	4.0	4.0	4.0	5.0	3.0	3.0	5.0	5.0	5.0	3.0	4.0	3.0	6.0	4.0	5.0	5.0	5.0	5.0	3.0	3.0	4.0	5.0	5.0	5.0	1.0	1.0	5.0	5.0
s081	1.0	4.0	7.0	6.0	5.0	7.0	3.0	7.0	4.0	5.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0	7.0	2.0	6.0	3.0	2.0	6.0	2.0	4.0	6.0	3.0	2.0	7.0	1.0
s082	2.0	2.0	4.0	3.0	6.0	5.0	3.0	4.0	5.0	6.0	7.0	7.0	4.0	5.0	5.0	6.0	7.0	5.0	5.0	7.0	4.0	3.0	3.0	4.0	3.0	2.0	1.0	4.0	5.0	1.0
s083	1.0	2.0	2.0	5.0	7.0	5.0	1.0	3.0	7.0	7.0	7.0	5.0	7.0	3.0	6.0	7.0	5.0	6.0	7.0	7.0	4.0	2.0	6.0	7.0	7.0	3.0	6.0	5.0	7.0	2.0
s084	1.0	1.0	4.0	4.0	2.0	7.0	1.0	3.0	7.0	7.0	5.0	4.0	2.0	3.0	7.0	6.0	6.0	3.0	4.0	7.0	2.0	2.0	2.0	3.0	6.0	7.0	3.0	3.0	7.0	2.0
s085	1.0	3.0	5.0	2.0	5.0	4.0	2.0	5.0	5.0	4.0	5.0	3.0	6.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	6.0	5.0	5.0	6.0	2.0	2.0	5.0	2.0
s086	2.0	5.0	5.0	3.0	3.0	2.0	3.0	6.0	5.0	6.0	4.0	5.0	3.0	5.0	3.0	3.0	4.0	3.0	3.0	5.0	4.0	3.0	3.0	5.0	4.0	6.0	3.0	4.0	5.0	2.0
s089	2.0	3.0	7.0	5.0	5.0	6.0	4.0	7.0	7.0	5.0	6.0	6.0	5.0	7.0	7.0	7.0	7.0	7.0	4.0	7.0	5.0	5.0	7.0	7.0	7.0	6.0	6.0	6.0	7.0	3.0
s091	1.0	4.0	3.0	3.0	3.0	5.0	3.0	3.0	6.0	5.0	6.0	4.0	6.0	3.0	6.0	5.0	5.0	3.0	5.0	6.0	1.0	2.0	3.0	6.0	6.0	6.0	2.0	2.0	6.0	1.0
s092	1.0	2.0	6.0	2.0	5.0	4.0	2.0	5.0	6.0	4.0	5.0	5.0	5.0	6.0	4.0	2.0	3.0	4.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	1.0	1.0	3.0	1.0
s093	2.0	2.0	5.0	4.0	2.0	3.0	5.0	6.0	4.0	4.0	3.0	6.0	5.0	5.0	4.0	4.0	4.0	5.0	3.0	6.0	5.0	5.0	3.0	4.0	3.0	5.0	3.0	4.0	4.0	2.0
s094	1.0	2.0	7.0	3.0	5.0	7.0	3.0	5.0	3.0	6.0	7.0	7.0	3.0	7.0	4.0	3.0	6.0	7.0	5.0	6.0	2.0	2.0	3.0	5.0	4.0	5.0	2.0	2.0	7.0	3.0
s096	1.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	4.0	4.0	4.0	2.0	3.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	5.0	2.0
s097	1.0	3.0	5.0	4.0	3.0	5.0	2.0	5.0	4.0	4.0	6.0	6.0	5.0	5.0	5.0	1.0	4.0	4.0	3.0	6.0	4.0	2.0	5.0	4.0	4.0	3.0	2.0	2.0	5.0	2.0
s098	2.0	2.0	6.0	4.0	5.0	6.0	2.0	6.0	6.0	6.0	7.0	5.0	5.0	6.0	6.0	3.0	6.0	4.0	5.0	6.0	4.0	2.0	6.0	5.0	5.0	3.0	2.0	3.0	6.0	2.0
s099	2.0	3.0	5.0	5.0	6.0	5.0	5.0	6.0	7.0	7.0	6.0	6.0	6.0	6.0	6.0	4.0	6.0	5.0	6.0	7.0	4.0	4.0	6.0	6.0	6.0	5.0	3.0	5.0	7.0	2.0
s102	5.0	4.0	6.0	5.0	6.0	6.0	7.0	6.0	6.0	6.0	7.0	5.0	7.0	6.0	6.0	5.0	6.0	6.0	7.0	7.0	4.0	6.0	6.0	7.0	7.0	5.0	5.0	3.0	4.0	3.0
s103	2.0	3.0	5.0	3.0	6.0	5.0	5.0	7.0	7.0	6.0	5.0	6.0	5.0	6.0	7.0	5.0	3.0	4.0	3.0	7.0	4.0	4.0	3.0	4.0	5.0	7.0	2.0	3.0	3.0	3.0
s105	1.0	2.0	7.0	4.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	5.0	6.0	7.0	7.0	7.0	5.0	2.0	7.0	2.0	5.0	5.0	5.0	2.0	7.0	4.0	3.0	4.0	5.0
s106	1.0	5.0	7.0	2.0	7.0	7.0	4.0	7.0	7.0	7.0	7.0	5.0	2.0	7.0	7.0	3.0	7.0	7.0	7.0	7.0	4.0	4.0	5.0	7.0	7.0	7.0	2.0	4.0	7.0	6.0
s107	1.0	2.0	4.0	4.0	2.0	2.0	6.0	4.0	7.0	7.0	7.0	5.0	5.0	5.0	7.0	5.0	7.0	6.0	5.0	6.0	3.0	2.0	4.0	6.0	2.0	2.0	2.0	4.0	4.0	4.0
s108	3.0	2.0	3.0	2.0	4.0	5.0	3.0	2.0	3.0	5.0	7.0	5.0	7.0	3.0	4.0	3.0	6.0	5.0	7.0	7.0	4.0	3.0	2.0	6.0	6.0	5.0	3.0	3.0	2.0	1.0
s109	1.0	4.0	6.0	2.0	5.0	6.0	3.0	5.0	7.0	7.0	6.0	4.0	5.0	6.0	7.0	6.0	5.0	6.0	4.0	6.0	4.0	3.0	5.0	5.0	5.0	5.0	4.0	3.0	6.0	4.0
s110	1.0	4.0	7.0	7.0	7.0	7.0	3.0	7.0	7.0	7.0	5.0	6.0	6.0	7.0	6.0	7.0	7.0	5.0	7.0	7.0	4.0	4.0	6.0	7.0	7.0	7.0	5.0	5.0	4.0	7.0
s111	1.0	2.0	6.0	2.0	5.0	6.0	6.0	6.0	7.0	6.0	7.0	4.0	6.0	7.0	7.0	5.0	7.0	5.0	5.0	7.0	5.0	5.0	6.0	7.0	3.0	7.0	1.0	3.0	7.0	5.0
s112	2.0	2.0	6.0	3.0	2.0	4.0	3.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	7.0	5.0	5.0	5.0	5.0	5.0	2.0	4.0	3.0	5.0	4.0	4.0	3.0	2.0	4.0	2.0
s114	1.0	2.0	6.0	2.0	4.0	6.0	3.0	6.0	5.0	5.0	4.0	4.0	3.0	5.0	2.0	3.0	5.0	5.0	4.0	5.0	4.0	3.0	2.0	3.0	3.0	3.0	1.0	3.0	5.0	1.0
s123	1.0	2.0	4.0	5.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	2.0	2.0	4.0	4.0	3.0	3.0	2.0	2.0	5.0	3.0	2.0	3.0	3.0	3.0	2.0
s128	2.0	5.0	7.0	5.0	5.0	5.0	5.0	7.0	6.0	6.0	7.0	2.0	6.0	7.0	5.0	6.0	6.0	6.0	5.0	7.0	4.0	6.0	5.0	5.0	5.0	6.0	5.0	4.0	6.0	3.0
s129	1.0	2.0	7.0	3.0	5.0	6.0	2.0	7.0	4.0	6.0	6.0	6.0	3.0	4.0	5.0	5.0	7.0	4.0	3.0	7.0	4.0	2.0	6.0	4.0	2.0	4.0	1.0	1.0	5.0	4.0
s131	1.0	1.0	7.0	4.0	5.0	7.0	4.0	7.0	7.0	7.0	7.0	6.0	6.0	7.0	7.0	7.0	4.0	4.0	6.0	4.0	5.0	2.0	7.0	7.0	6.0	4.0	3.0	3.0	7.0	7.0
s135	3.0	5.0	7.0	6.0	7.0	7.0	5.0	6.0	4.0	7.0	5.0	4.0	5.0	4.0	4.0	5.0	7.0	6.0	7.0	7.0	3.0	4.0	6.0	7.0	3.0	4.0	3.0	4.0	7.0	5.0
s140	2.0	3.0	6.0	2.0	6.0	6.0	3.0	6.0	6.0	5.0	6.0	2.0	6.0	6.0	6.0	4.0	6.0	2.0	5.0	6.0	2.0	3.0	5.0	6.0	2.0	4.0	4.0	2.0	3.0	3.0
s142	5.0	1.0	7.0	2.0	3.0	7.0	5.0	7.0	5.0	6.0	5.0	6.0	4.0	7.0	7.0	3.0	2.0	7.0	2.0	7.0	2.0	3.0	2.0	3.0	3.0	6.0	1.0	3.0	5.0	1.0
s145	3.0	3.0	6.0	4.0	4.0	5.0	4.0	6.0	7.0	7.0	6.0	5.0	7.0	4.0	6.0	5.0	7.0	6.0	7.0	7.0	4.0	5.0	6.0	6.0	7.0	6.0	6.0	4.0	6.0	2.0
s149	1.0	1.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	6.0	5.0	5.0	3.0	3.0	5.0	3.0	4.0	4.0	3.0	5.0	5.0	4.0	4.0	3.0	4.0	3.0	3.0	5.0	4.0	3.0
s155	1.0	1.0	7.0	7.0	7.0	7.0	1.0	7.0	4.0	5.0	7.0	7.0	3.0	7.0	5.0	2.0	6.0	7.0	5.0	6.0	2.0	2.0	5.0	7.0	2.0	1.0	1.0	1.0	5.0	1.0
s156	1.0	2.0	6.0	2.0	4.0	4.0	5.0	6.0	7.0	5.0	4.0	3.0	3.0	6.0	5.0	6.0	5.0	3.0	4.0	7.0	2.0	4.0	3.0	4.0	2.0	3.0	1.0	5.0	5.0	2.0
s161	1.0	3.0	6.0	3.0	5.0	5.0	3.0	6.0	5.0	5.0	6.0	2.0	4.0	6.0	5.0	3.0	5.0	5.0	6.0	7.0	4.0	3.0	4.0	6.0	5.0	6.0	4.0	4.0	6.0	3.0
s163	1.0	2.0	7.0	4.0	7.0	7.0	3.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	4.0	4.0	7.0	7.0	7.0	7.0	3.0	4.0	7.0	2.0
s165	2.0	3.0	7.0	2.0	6.0	4.0	4.0	7.0	7.0	6.0	7.0	5.0	4.0	7.0	7.0	4.0	6.0	5.0	5.0	6.0	3.0	4.0	4.0	7.0	6.0	6.0	3.0	4.0	4.0	2.0
s168	1.0	2.0	7.0	3.0	4.0	5.0	4.0	7.0	5.0	5.0	6.0	5.0	5.0	7.0	4.0	4.0	4.0	4.0	4.0	6.0	4.0	4.0	4.0	4.0	2.0	6.0	1.0	2.0	4.0	3.0
s170	1.0	2.0	5.0	5.0	7.0	2.0	1.0	4.0	5.0	2.0	4.0	5.0	6.0	4.0	6.0	5.0	1.0	4.0	1.0	3.0	2.0	2.0	2.0	4.0	7.0	3.0	1.0	1.0	3.0	3.0
s173	3.0	2.0	6.0	2.0	4.0	7.0	4.0	6.0	7.0	7.0	6.0	7.0	3.0	6.0	5.0	3.0	7.0	5.0	2.0	7.0	3.0	4.0	3.0	2.0	2.0	5.0	3.0	2.0	2.0	1.0
s179	2.0	1.0	3.0	2.0	7.0	6.0	3.0	3.0	5.0	1.0	4.0	5.0	1.0	6.0	7.0	2.0	6.0	4.0	1.0	6.0	1.0	2.0	7.0	3.0	2.0	5.0	1.0	1.0	7.0	7.0
s180	1.0	3.0	5.0	3.0	3.0	2.0	2.0	3.0	5.0	5.0	4.0	4.0	6.0	4.0	7.0	3.0	2.0	4.0	4.0	7.0	4.0	2.0	2.0	5.0	4.0	4.0	2.0	3.0	3.0	1.0
s182	3.0	4.0	6.0	2.0	5.0	6.0	5.0	7.0	6.0	5.0	5.0	5.0	4.0	6.0	5.0	5.0	4.0	7.0	4.0	5.0	5.0	5.0	4.0	4.0	3.0	6.0	4.0	5.0	4.0	2.0
s184	1.0	2.0	5.0	1.0	5.0	3.0	2.0	6.0	6.0	6.0	6.0	3.0	5.0	5.0	5.0	6.0	6.0	4.0	5.0	6.0	1.0	3.0	4.0	5.0	3.0	2.0	1.0	1.0	5.0	1.0
s186	1.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	6.0	6.0	6.0	4.0	6.0	4.0	5.0	3.0	6.0	4.0	5.0	6.0	5.0	2.0	1.0	7.0	5.0	2.0	4.0	4.0	6.0	2.0
s187	4.0	5.0	3.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	3.0	4.0	5.0	4.0	5.0	3.0	5.0	4.0	3.0	4.0	4.0
s188	1.0	3.0	7.0	4.0	7.0	6.0	3.0	7.0	4.0	5.0	7.0	6.0	7.0	7.0	2.0	2.0	5.0	3.0	7.0	7.0	3.0	2.0	4.0	7.0	4.0	5.0	2.0	3.0	7.0	3.0
s190	1.0	2.0	3.0	2.0	2.0	6.0	3.0	4.0	5.0	3.0	7.0	5.0	4.0	4.0	6.0	5.0	7.0	4.0	7.0	7.0	4.0	3.0	5.0	7.0	6.0	6.0	2.0	4.0	5.0	3.0
s192	1.0	4.0	6.0	2.0	6.0	6.0	4.0	6.0	5.0	5.0	4.0	5.0	4.0	6.0	5.0	3.0	5.0	5.0	4.0	6.0	4.0	4.0	6.0	5.0	4.0	4.0	2.0	3.0	6.0	1.0
s196	2.0	5.0	5.0	4.0	4.0	4.0	3.0	4.0	7.0	7.0	6.0	5.0	6.0	3.0	6.0	5.0	7.0	4.0	7.0	7.0	3.0	4.0	7.0	7.0	6.0	7.0	6.0	1.0	7.0	4.0
s198	2.0	3.0	5.0	4.0	3.0	6.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	5.0	6.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	5.0	3.0
s202	1.0	2.0	5.0	2.0	2.0	5.0	2.0	6.0	5.0	5.0	4.0	6.0	2.0	4.0	3.0	1.0	2.0	4.0	5.0	5.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	6.0	7.0	1.0
s205	2.0	3.0	5.0	5.0	2.0	5.0	2.0	5.0	5.0	4.0	4.0	4.0	3.0	5.0	5.0	2.0	5.0	3.0	3.0	5.0	4.0	2.0	3.0	3.0	4.0	4.0	2.0	3.0	5.0	1.0
s206	1.0	5.0	6.0	3.0	6.0	7.0	2.0	7.0	7.0	5.0	7.0	6.0	6.0	6.0	7.0	2.0	6.0	5.0	3.0	7.0	3.0	1.0	3.0	2.0	4.0	4.0	3.0	4.0	7.0	1.0
s207	1.0	3.0	7.0	2.0	7.0	7.0	5.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	6.0	7.0	7.0	4.0	3.0	6.0	7.0	6.0	7.0	2.0	3.0	7.0	6.0
s208	1.0	2.0	5.0	1.0	4.0	5.0	1.0	6.0	6.0	6.0	5.0	4.0	5.0	6.0	7.0	5.0	6.0	5.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	5.0	2.0	2.0	4.0	2.0
s209	1.0	5.0	7.0	4.0	7.0	5.0	2.0	7.0	6.0	6.0	7.0	4.0	6.0	7.0	5.0	3.0	6.0	3.0	5.0	7.0	5.0	3.0	7.0	7.0	5.0	6.0	3.0	5.0	6.0	3.0
s210	1.0	2.0	6.0	3.0	6.0	5.0	2.0	6.0	7.0	4.0	5.0	3.0	5.0	6.0	3.0	2.0	3.0	5.0	2.0	6.0	3.0	2.0	1.0	5.0	3.0	3.0	2.0	2.0	6.0	1.0
s212	1.0	2.0	6.0	6.0	6.0	6.0	2.0	7.0	7.0	7.0	6.0	7.0	3.0	6.0	7.0	5.0	7.0	6.0	6.0	7.0	4.0	2.0	4.0	6.0	2.0	5.0	3.0	3.0	3.0	3.0
s216	1.0	2.0	6.0	6.0	5.0	4.0	5.0	6.0	3.0	4.0	7.0	6.0	7.0	6.0	4.0	5.0	5.0	6.0	6.0	6.0	5.0	5.0	5.0	7.0	7.0	5.0	5.0	5.0	5.0	5.0
s218	1.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	3.0
s226	2.0	1.0	6.0	7.0	7.0	7.0	3.0	6.0	7.0	5.0	4.0	6.0	4.0	6.0	6.0	3.0	4.0	4.0	3.0	5.0	3.0	6.0	5.0	6.0	6.0	4.0	3.0	5.0	3.0	1.0
s228	2.0	3.0	4.0	3.0	6.0	6.0	5.0	4.0	5.0	4.0	7.0	5.0	6.0	4.0	5.0	2.0	4.0	6.0	4.0	7.0	4.0	3.0	5.0	4.0	4.0	3.0	2.0	3.0	5.0	2.0
s233	1.0	6.0	7.0	4.0	4.0	6.0	4.0	7.0	3.0	7.0	7.0	7.0	5.0	7.0	6.0	2.0	6.0	7.0	7.0	7.0	6.0	5.0	6.0	7.0	7.0	3.0	1.0	6.0	7.0	3.0
s237	1.0	3.0	5.0	6.0	7.0	3.0	2.0	5.0	5.0	4.0	7.0	3.0	6.0	5.0	4.0	2.0	7.0	4.0	7.0	7.0	3.0	2.0	5.0	7.0	7.0	3.0	2.0	2.0	7.0	2.0
s238	2.0	2.0	7.0	7.0	7.0	7.0	2.0	7.0	7.0	7.0	7.0	6.0	7.0	7.0	6.0	7.0	7.0	7.0	5.0	7.0	5.0	3.0	6.0	6.0	5.0	7.0	4.0	4.0	7.0	5.0
s244	2.0	3.0	7.0	3.0	5.0	5.0	5.0	7.0	7.0	6.0	7.0	4.0	7.0	7.0	6.0	5.0	6.0	6.0	6.0	7.0	5.0	4.0	5.0	7.0	7.0	6.0	4.0	4.0	4.0	1.0
s246	1.0	3.0	4.0	4.0	3.0	5.0	2.0	3.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	2.0	4.0	5.0	3.0	6.0	4.0	3.0	5.0	6.0	4.0	5.0	5.0	4.0	4.0	2.0
s249	3.0	5.0	6.0	3.0	5.0	6.0	5.0	7.0	5.0	6.0	5.0	4.0	5.0	7.0	7.0	6.0	6.0	5.0	5.0	7.0	6.0	4.0	5.0	6.0	7.0	6.0	5.0	2.0	4.0	3.0
s252	1.0	2.0	6.0	4.0	3.0	7.0	2.0	7.0	3.0	5.0	6.0	7.0	7.0	5.0	3.0	2.0	4.0	5.0	2.0	5.0	2.0	3.0	2.0	3.0	2.0	3.0	1.0	2.0	2.0	1.0
s254	3.0	7.0	6.0	4.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	3.0	7.0	5.0	7.0	7.0	4.0	3.0	7.0	7.0	7.0	7.0	4.0	2.0	7.0	6.0
s259	1.0	2.0	3.0	2.0	4.0	5.0	4.0	6.0	4.0	4.0	6.0	7.0	4.0	6.0	6.0	3.0	5.0	5.0	5.0	6.0	4.0	3.0	6.0	3.0	3.0	3.0	3.0	4.0	7.0	2.0
s262	2.0	3.0	6.0	4.0	5.0	6.0	3.0	5.0	6.0	6.0	6.0	5.0	5.0	4.0	6.0	5.0	6.0	3.0	4.0	6.0	6.0	5.0	5.0	6.0	5.0	6.0	4.0	4.0	6.0	5.0
s264	2.0	5.0	5.0	5.0	6.0	6.0	5.0	5.0	6.0	5.0	6.0	4.0	6.0	5.0	6.0	5.0	6.0	6.0	6.0	6.0	5.0	4.0	4.0	6.0	6.0	6.0	5.0	5.0	6.0	3.0
s265	1.0	3.0	2.0	3.0	5.0	5.0	2.0	2.0	5.0	4.0	6.0	4.0	6.0	2.0	4.0	2.0	5.0	5.0	7.0	7.0	2.0	1.0	2.0	7.0	7.0	6.0	1.0	2.0	7.0	1.0
s269	1.0	2.0	5.0	5.0	2.0	5.0	2.0	5.0	6.0	5.0	7.0	4.0	2.0	5.0	5.0	3.0	5.0	5.0	2.0	6.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	4.0	4.0	2.0
s273	2.0	3.0	6.0	2.0	5.0	4.0	4.0	6.0	5.0	6.0	7.0	7.0	7.0	6.0	4.0	3.0	4.0	4.0	7.0	7.0	5.0	5.0	3.0	7.0	7.0	6.0	4.0	4.0	5.0	2.0
s275	1.0	1.0	4.0	4.0	5.0	7.0	7.0	4.0	7.0	7.0	7.0	3.0	7.0	4.0	3.0	6.0	5.0	7.0	3.0	5.0	6.0	6.0	5.0	4.0	6.0	6.0	5.0	7.0	4.0	4.0
s277	2.0	4.0	7.0	5.0	7.0	7.0	6.0	7.0	7.0	7.0	7.0	5.0	6.0	7.0	4.0	6.0	7.0	4.0	6.0	7.0	3.0	5.0	6.0	7.0	5.0	7.0	7.0	5.0	7.0	4.0
s284	2.0	2.0	3.0	1.0	2.0	3.0	3.0	3.0	4.0	3.0	5.0	3.0	4.0	4.0	3.0	4.0	5.0	3.0	4.0	6.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	2.0
s285	1.0	6.0	7.0	2.0	5.0	7.0	4.0	7.0	7.0	5.0	7.0	6.0	7.0	5.0	4.0	3.0	5.0	5.0	7.0	7.0	5.0	5.0	6.0	7.0	7.0	6.0	6.0	3.0	7.0	7.0
s286	3.0	5.0	7.0	4.0	7.0	7.0	5.0	7.0	7.0	6.0	7.0	4.0	5.0	6.0	7.0	6.0	5.0	3.0	3.0	7.0	6.0	5.0	2.0	5.0	6.0	2.0	1.0	3.0	5.0	1.0
s290	2.0	4.0	6.0	6.0	4.0	7.0	4.0	5.0	4.0	4.0	6.0	4.0	4.0	6.0	4.0	3.0	5.0	6.0	5.0	7.0	5.0	3.0	5.0	4.0	4.0	6.0	2.0	3.0	3.0	2.0
s291	1.0	2.0	5.0	3.0	4.0	6.0	2.0	7.0	5.0	5.0	7.0	5.0	5.0	7.0	4.0	3.0	5.0	2.0	4.0	7.0	4.0	5.0	4.0	5.0	3.0	4.0	1.0	5.0	7.0	1.0
s293	3.0	5.0	6.0	4.0	7.0	3.0	4.0	6.0	7.0	6.0	7.0	6.0	6.0	5.0	7.0	6.0	6.0	6.0	6.0	7.0	5.0	5.0	6.0	4.0	5.0	6.0	5.0	3.0	5.0	2.0
s294	1.0	2.0	5.0	2.0	6.0	5.0	5.0	7.0	5.0	4.0	5.0	5.0	5.0	5.0	7.0	4.0	6.0	4.0	2.0	6.0	3.0	3.0	4.0	4.0	3.0	7.0	5.0	4.0	5.0	4.0
s295	1.0	2.0	6.0	4.0	3.0	4.0	2.0	7.0	5.0	5.0	5.0	4.0	4.0	7.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	3.0	1.0	4.0	4.0	2.0
s297	1.0	2.0	7.0	1.0	7.0	7.0	2.0	7.0	5.0	7.0	7.0	7.0	7.0	7.0	3.0	7.0	7.0	4.0	4.0	7.0	2.0	4.0	4.0	7.0	4.0	5.0	3.0	2.0	7.0	4.0
s301	1.0	3.0	4.0	4.0	5.0	7.0	4.0	4.0	7.0	7.0	6.0	7.0	5.0	4.0	7.0	5.0	7.0	6.0	6.0	7.0	5.0	5.0	5.0	7.0	5.0	5.0	5.0	6.0	6.0	6.0
s303	1.0	2.0	2.0	4.0	1.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	2.0	3.0	5.0	2.0	3.0	4.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0
s305	1.0	5.0	2.0	3.0	6.0	6.0	4.0	2.0	6.0	4.0	7.0	4.0	7.0	2.0	6.0	3.0	5.0	5.0	6.0	7.0	6.0	5.0	4.0	7.0	7.0	5.0	4.0	5.0	7.0	1.0
s307	1.0	3.0	7.0	5.0	2.0	6.0	2.0	7.0	4.0	5.0	6.0	5.0	6.0	7.0	4.0	3.0	5.0	5.0	5.0	7.0	5.0	2.0	2.0	6.0	6.0	6.0	2.0	4.0	7.0	1.0
s309	2.0	3.0	6.0	2.0	3.0	4.0	4.0	7.0	6.0	6.0	6.0	5.0	7.0	6.0	7.0	7.0	6.0	6.0	4.0	6.0	4.0	4.0	7.0	3.0	3.0	6.0	2.0	2.0	3.0	1.0
s313	1.0	3.0	7.0	4.0	6.0	7.0	1.0	3.0	7.0	5.0	6.0	6.0	6.0	6.0	7.0	3.0	4.0	5.0	6.0	4.0	7.0	1.0	5.0	6.0	3.0	1.0	1.0	4.0	7.0	1.0
s314	3.0	3.0	2.0	4.0	4.0	6.0	3.0	3.0	6.0	3.0	4.0	4.0	4.0	5.0	6.0	5.0	3.0	5.0	5.0	5.0	7.0	3.0	2.0	4.0	4.0	5.0	4.0	5.0	4.0	2.0
