worker	bis_bas_survey_2	bis_bas_survey_3	bis_bas_survey_4	bis_bas_survey_5	bis_bas_survey_6	bis_bas_survey_7	bis_bas_survey_8	bis_bas_survey_9	bis_bas_survey_10	bis_bas_survey_11	bis_bas_survey_12	bis_bas_survey_13	bis_bas_survey_14	bis_bas_survey_15	bis_bas_survey_16	bis_bas_survey_17	bis_bas_survey_18	bis_bas_survey_19	bis_bas_survey_20	bis_bas_survey_21	bis_bas_survey_22	bis_bas_survey_23	bis_bas_survey_24	bis_bas_survey_25
s329	4.0	4.0	3.0	3.0	4.0	1.0	3.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	4.0	2.0
s332	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0
s333	3.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0
s334	4.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0
s336	3.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0
s339	4.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	3.0	4.0	3.0
s343	1.0	4.0	2.0	3.0	3.0	3.0	4.0	4.0	2.0	2.0	4.0	2.0	4.0	3.0	2.0	4.0	3.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0
s346	4.0	2.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0	3.0	1.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0
s351	4.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	2.0	2.0	3.0	3.0	4.0	1.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0
s352	4.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	3.0	4.0
s357	4.0	2.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0	2.0	2.0	2.0	1.0	1.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0
s359	4.0	2.0	4.0	4.0	3.0	4.0	4.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0
s365	3.0	2.0	2.0	3.0	4.0	1.0	2.0	4.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	3.0	3.0	1.0	4.0	3.0	2.0	2.0	3.0	4.0
s368	4.0	3.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	1.0	4.0	3.0	3.0	4.0	1.0	1.0	4.0	4.0	4.0
s369	2.0	3.0	3.0	4.0	4.0	3.0	4.0	2.0	4.0	3.0	2.0	3.0	2.0	4.0	2.0	3.0	3.0	4.0	3.0	3.0	4.0	2.0	4.0	3.0
s372	4.0	2.0	3.0	4.0	3.0	3.0	4.0	1.0	3.0	2.0	1.0	3.0	4.0	2.0	1.0	2.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0
s373	1.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0
s376	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0
s380	4.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	4.0	4.0
s383	4.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0
s388	4.0	2.0	3.0	4.0	4.0	1.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0
s391	1.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0
s396	3.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0
s397	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0
s402	4.0	2.0	2.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	4.0	3.0	3.0	3.0	1.0	2.0	3.0	3.0
s403	2.0	4.0	1.0	3.0	2.0	2.0	3.0	4.0	2.0	2.0	4.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	1.0	1.0	4.0	4.0	4.0
s408	4.0	4.0	1.0	4.0	3.0	1.0	3.0	4.0	1.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	4.0	3.0	4.0	2.0	1.0	4.0	4.0	4.0
s409	3.0	4.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0
s411	4.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	3.0	3.0	1.0	3.0	2.0	3.0	3.0	2.0	1.0	2.0	3.0	2.0
s420	4.0	4.0	4.0	4.0	4.0	1.0	4.0	4.0	3.0	3.0	1.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	1.0	4.0	4.0
s425	3.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0
s427	4.0	3.0	3.0	4.0	2.0	3.0	4.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0
s429	4.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0
s430	4.0	4.0	3.0	4.0	3.0	1.0	3.0	4.0	3.0	1.0	4.0	3.0	4.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0
s434	3.0	3.0	2.0	4.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0	3.0	3.0
s441	2.0	2.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	2.0	4.0	3.0
s446	3.0	4.0	2.0	3.0	3.0	2.0	2.0	4.0	2.0	3.0	1.0	2.0	3.0	2.0	1.0	4.0	4.0	2.0	4.0	2.0	2.0	3.0	1.0	4.0
s449	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	2.0	3.0	2.0	2.0	4.0	3.0	4.0
s450	4.0	4.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0
s451	2.0	4.0	3.0	4.0	2.0	3.0	3.0	4.0	2.0	2.0	4.0	1.0	3.0	2.0	1.0	3.0	2.0	4.0	4.0	2.0	1.0	3.0	1.0	3.0
s453	4.0	1.0	2.0	3.0	4.0	1.0	4.0	1.0	3.0	4.0	1.0	4.0	1.0	4.0	3.0	1.0	4.0	4.0	1.0	3.0	4.0	1.0	4.0	2.0
s456	4.0	2.0	3.0	3.0	3.0	3.0	3.0	1.0	4.0	4.0	3.0	3.0	3.0	3.0	2.0	2.0	4.0	4.0	2.0	4.0	3.0	1.0	4.0	4.0
s459	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	4.0	2.0	2.0	3.0	4.0	4.0
s461	3.0	3.0	3.0	4.0	4.0	2.0	4.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	4.0	4.0	3.0	1.0	4.0	3.0
s462	4.0	4.0	2.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0
s467	4.0	1.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0
s468	3.0	3.0	4.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	1.0
s469	4.0	4.0	2.0	4.0	3.0	2.0	4.0	3.0	2.0	1.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	1.0	3.0	4.0	3.0
s471	3.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	4.0	1.0	3.0	4.0	3.0
s473	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0
s475	3.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0
s477	2.0	4.0	2.0	4.0	3.0	2.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	4.0	3.0	4.0	3.0	2.0	4.0	2.0	4.0
s481	1.0	4.0	2.0	4.0	2.0	2.0	3.0	4.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0	3.0	2.0	4.0	2.0	2.0	3.0	4.0	4.0
s483	2.0	4.0	1.0	3.0	2.0	1.0	2.0	4.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0	4.0	3.0	2.0	4.0	1.0	1.0	4.0	2.0	4.0
s484	4.0	4.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	1.0	3.0	3.0	4.0	3.0	1.0	4.0	4.0	3.0	4.0	1.0	2.0	3.0	3.0	4.0
s488	4.0	2.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	4.0	4.0
s489	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s490	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	1.0	2.0	4.0	4.0	1.0	4.0	1.0	4.0	4.0	3.0	3.0	2.0	4.0	4.0
s491	4.0	4.0	1.0	1.0	1.0	2.0	1.0	3.0	3.0	1.0	2.0	3.0	3.0	4.0	1.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0
s492	4.0	2.0	2.0	4.0	4.0	2.0	4.0	2.0	2.0	2.0	2.0	3.0	2.0	4.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0
s500	4.0	4.0	3.0	3.0	4.0	4.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	2.0	4.0	2.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0
s501	4.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s502	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	4.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	4.0
s503	4.0	3.0	2.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0
s504	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	4.0	3.0
s505	4.0	4.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	2.0	2.0	4.0	3.0	2.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0
s506	4.0	2.0	4.0	4.0	3.0	4.0	4.0	2.0	3.0	3.0	2.0	3.0	4.0	4.0	1.0	3.0	3.0	4.0	4.0	3.0	3.0	1.0	4.0	3.0
s507	3.0	4.0	2.0	4.0	3.0	1.0	4.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	1.0	3.0	2.0	2.0	4.0	2.0	2.0	3.0	3.0	3.0
s508	3.0	2.0	4.0	4.0	4.0	4.0	4.0	1.0	4.0	4.0	2.0	4.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	1.0	2.0	4.0
s509	4.0	3.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0
s510	4.0	3.0	2.0	4.0	3.0	2.0	4.0	4.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	2.0	2.0	4.0	3.0
s511	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0
