worker	bis_bas_survey_2	bis_bas_survey_3	bis_bas_survey_4	bis_bas_survey_5	bis_bas_survey_6	bis_bas_survey_7	bis_bas_survey_8	bis_bas_survey_9	bis_bas_survey_10	bis_bas_survey_11	bis_bas_survey_12	bis_bas_survey_13	bis_bas_survey_14	bis_bas_survey_15	bis_bas_survey_16	bis_bas_survey_17	bis_bas_survey_18	bis_bas_survey_19	bis_bas_survey_20	bis_bas_survey_21	bis_bas_survey_22	bis_bas_survey_23	bis_bas_survey_24	bis_bas_survey_25
s228	3.0	4.0	2.0	4.0	1.0	3.0	4.0	4.0	2.0	1.0	3.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0
s233	2.0	4.0	3.0	4.0	2.0	1.0	4.0	4.0	2.0	2.0	1.0	2.0	4.0	3.0	1.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	3.0	4.0
s237	3.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	3.0	3.0	3.0	2.0	3.0	3.0
s238	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0
s244	1.0	4.0	2.0	3.0	2.0	2.0	3.0	4.0	1.0	3.0	2.0	2.0	3.0	2.0	2.0	4.0	3.0	2.0	4.0	2.0	1.0	4.0	3.0	4.0
s246	3.0	3.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	2.0	4.0	4.0	3.0	2.0	3.0	4.0	3.0	3.0	2.0	2.0	3.0	4.0	3.0
s249	3.0	2.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0	2.0	3.0	1.0
s252	2.0	2.0	2.0	4.0	2.0	3.0	3.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	2.0	3.0	3.0	4.0	2.0	1.0	2.0	4.0	3.0
s254	4.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	4.0	3.0	1.0	4.0	4.0	4.0	2.0	4.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0
s259	3.0	1.0	4.0	4.0	4.0	3.0	4.0	1.0	4.0	3.0	2.0	4.0	3.0	4.0	2.0	1.0	2.0	4.0	4.0	3.0	4.0	2.0	4.0	3.0
s262	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	3.0
s264	3.0	2.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0
s265	3.0	2.0	3.0	4.0	4.0	4.0	4.0	2.0	3.0	4.0	1.0	3.0	3.0	2.0	3.0	2.0	2.0	4.0	2.0	4.0	3.0	1.0	4.0	2.0
s269	3.0	3.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	4.0
s273	3.0	3.0	4.0	4.0	3.0	3.0	4.0	1.0	3.0	2.0	3.0	3.0	2.0	3.0	1.0	3.0	4.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0
s275	4.0	1.0	4.0	4.0	4.0	4.0	4.0	2.0	4.0	3.0	1.0	4.0	1.0	4.0	4.0	1.0	1.0	4.0	1.0	3.0	4.0	1.0	4.0	1.0
s277	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0
