worker	five_facet_mindfulness_survey_2	five_facet_mindfulness_survey_3	five_facet_mindfulness_survey_4	five_facet_mindfulness_survey_5	five_facet_mindfulness_survey_6	five_facet_mindfulness_survey_7	five_facet_mindfulness_survey_8	five_facet_mindfulness_survey_9	five_facet_mindfulness_survey_10	five_facet_mindfulness_survey_11	five_facet_mindfulness_survey_12	five_facet_mindfulness_survey_13	five_facet_mindfulness_survey_14	five_facet_mindfulness_survey_15	five_facet_mindfulness_survey_16	five_facet_mindfulness_survey_17	five_facet_mindfulness_survey_18	five_facet_mindfulness_survey_19	five_facet_mindfulness_survey_20	five_facet_mindfulness_survey_21	five_facet_mindfulness_survey_22	five_facet_mindfulness_survey_23	five_facet_mindfulness_survey_24	five_facet_mindfulness_survey_25	five_facet_mindfulness_survey_26	five_facet_mindfulness_survey_27	five_facet_mindfulness_survey_28	five_facet_mindfulness_survey_29	five_facet_mindfulness_survey_30	five_facet_mindfulness_survey_31	five_facet_mindfulness_survey_32	five_facet_mindfulness_survey_33	five_facet_mindfulness_survey_34	five_facet_mindfulness_survey_35	five_facet_mindfulness_survey_36	five_facet_mindfulness_survey_37	five_facet_mindfulness_survey_38	five_facet_mindfulness_survey_39	five_facet_mindfulness_survey_40
s165	4.0	4.0	3.0	3.0	3.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	4.0	5.0	3.0	4.0	2.0	4.0	4.0	4.0	4.0	4.0	5.0	1.0	5.0	4.0	4.0	5.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0	4.0	4.0	5.0	2.0
s168	3.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	5.0	3.0	4.0	5.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	5.0	5.0	3.0	4.0	3.0	5.0	3.0	2.0	3.0	3.0	5.0	3.0	3.0	3.0	5.0
s170	5.0	4.0	3.0	5.0	3.0	5.0	4.0	5.0	3.0	4.0	5.0	3.0	3.0	4.0	5.0	3.0	4.0	4.0	3.0	5.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	2.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0
s173	2.0	4.0	3.0	3.0	4.0	3.0	4.0	5.0	3.0	4.0	2.0	5.0	3.0	3.0	3.0	5.0	1.0	5.0	3.0	3.0	4.0	5.0	5.0	3.0	4.0	3.0	5.0	4.0	3.0	4.0	2.0	4.0	3.0	4.0	3.0	3.0	4.0	5.0	2.0
s179	3.0	5.0	2.0	2.0	5.0	3.0	5.0	5.0	3.0	2.0	1.0	5.0	3.0	2.0	3.0	5.0	1.0	5.0	5.0	4.0	4.0	5.0	3.0	2.0	3.0	4.0	5.0	4.0	4.0	3.0	1.0	4.0	4.0	5.0	3.0	3.0	5.0	4.0	3.0
s180	4.0	4.0	3.0	3.0	5.0	4.0	4.0	5.0	3.0	3.0	4.0	4.0	4.0	2.0	5.0	4.0	2.0	4.0	4.0	5.0	3.0	4.0	4.0	3.0	3.0	5.0	4.0	5.0	3.0	2.0	5.0	3.0	3.0	4.0	3.0	4.0	4.0	5.0	2.0
s182	3.0	3.0	4.0	3.0	2.0	3.0	2.0	4.0	3.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0	2.0	3.0	4.0
s184	3.0	4.0	2.0	3.0	3.0	3.0	5.0	4.0	3.0	3.0	3.0	5.0	3.0	4.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0
s186	2.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	5.0	3.0	4.0	3.0	2.0	4.0	5.0	5.0	4.0	3.0	5.0	5.0
s187	4.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	2.0	2.0	2.0	4.0	3.0	3.0	3.0	2.0	2.0	3.0	4.0	4.0	3.0	2.0	3.0	4.0	3.0	2.0	3.0
s188	4.0	5.0	3.0	3.0	4.0	5.0	5.0	5.0	3.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0
s190	2.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	2.0	2.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	2.0	3.0	4.0	4.0	2.0	2.0	3.0	3.0	4.0	3.0	3.0	2.0	2.0	3.0	4.0	4.0	3.0	3.0	4.0	3.0
s192	2.0	4.0	5.0	3.0	5.0	3.0	3.0	5.0	4.0	4.0	3.0	4.0	5.0	5.0	3.0	4.0	4.0	5.0	3.0	4.0	3.0	5.0	4.0	4.0	3.0	3.0	3.0	5.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0
s196	1.0	4.0	4.0	3.0	4.0	5.0	4.0	5.0	4.0	2.0	4.0	4.0	4.0	2.0	5.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0	5.0	2.0	4.0	5.0	4.0	5.0	3.0	4.0	4.0	4.0	2.0	5.0	3.0	4.0	4.0	5.0	4.0
s198	3.0	4.0	4.0	3.0	3.0	2.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0
s202	1.0	4.0	2.0	5.0	5.0	1.0	3.0	5.0	4.0	2.0	2.0	4.0	5.0	2.0	1.0	4.0	2.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	2.0	2.0	3.0	5.0	3.0	2.0	3.0	3.0	3.0	5.0	2.0	3.0	3.0	5.0	2.0
s205	3.0	3.0	5.0	3.0	4.0	3.0	3.0	4.0	3.0	5.0	3.0	3.0	4.0	5.0	3.0	3.0	5.0	5.0	3.0	3.0	3.0	4.0	5.0	3.0	5.0	3.0	3.0	4.0	3.0	5.0	3.0	2.0	3.0	5.0	5.0	3.0	3.0	5.0	5.0
s206	4.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	5.0	5.0	3.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	3.0	5.0	5.0	3.0	5.0	4.0	5.0
s207	3.0	4.0	3.0	2.0	4.0	3.0	4.0	5.0	2.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	2.0	5.0	1.0	4.0	2.0	3.0	5.0	1.0	4.0	5.0	4.0	5.0	1.0	4.0	3.0	4.0	1.0	5.0	3.0	4.0	4.0	5.0	4.0
s208	4.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	1.0	5.0	3.0	1.0	2.0	3.0	3.0	2.0	2.0	2.0	5.0	2.0	3.0	1.0	3.0	1.0	5.0	3.0	1.0	2.0	2.0	4.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	2.0
s209	5.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0	3.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0
s210	2.0	5.0	3.0	3.0	4.0	4.0	5.0	5.0	4.0	3.0	2.0	5.0	4.0	5.0	3.0	5.0	4.0	5.0	3.0	3.0	5.0	5.0	4.0	3.0	4.0	2.0	5.0	5.0	5.0	4.0	3.0	5.0	5.0	4.0	4.0	5.0	5.0	4.0	3.0
s212	4.0	5.0	4.0	3.0	2.0	4.0	5.0	2.0	4.0	5.0	5.0	5.0	2.0	5.0	4.0	5.0	5.0	3.0	3.0	2.0	4.0	5.0	4.0	2.0	5.0	5.0	5.0	3.0	2.0	5.0	5.0	5.0	1.0	3.0	5.0	4.0	5.0	4.0	4.0
s216	2.0	1.0	1.0	3.0	4.0	3.0	1.0	5.0	2.0	1.0	3.0	1.0	4.0	3.0	4.0	1.0	1.0	4.0	2.0	4.0	3.0	1.0	4.0	2.0	2.0	5.0	1.0	5.0	2.0	2.0	3.0	1.0	1.0	4.0	2.0	3.0	1.0	5.0	2.0
s218	5.0	5.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	1.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0
s226	2.0	5.0	5.0	3.0	4.0	3.0	5.0	5.0	3.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	3.0	5.0	2.0	3.0	3.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	3.0	4.0	4.0	5.0	4.0	4.0	5.0	3.0	4.0	5.0	5.0
s228	3.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	2.0	2.0	2.0	4.0	2.0	3.0	3.0	4.0	3.0	2.0	2.0	5.0	2.0	4.0	3.0	3.0	2.0	4.0	1.0	3.0	2.0	2.0	2.0	4.0	1.0	3.0	2.0	4.0	4.0	3.0	2.0
s233	4.0	5.0	1.0	2.0	4.0	5.0	5.0	4.0	1.0	1.0	5.0	5.0	3.0	1.0	5.0	5.0	2.0	3.0	2.0	5.0	2.0	5.0	4.0	3.0	1.0	5.0	5.0	4.0	1.0	1.0	3.0	5.0	1.0	4.0	1.0	5.0	5.0	4.0	3.0
s237	3.0	2.0	3.0	2.0	4.0	3.0	2.0	4.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	4.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	2.0	4.0	3.0
s238	2.0	4.0	5.0	3.0	5.0	3.0	3.0	5.0	2.0	4.0	2.0	4.0	4.0	4.0	3.0	5.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	3.0	5.0	3.0	3.0	3.0	5.0	5.0	4.0	4.0	5.0	4.0
s244	3.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	2.0	3.0	4.0	3.0	2.0	4.0	4.0	2.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	2.0	4.0	4.0	3.0	4.0	2.0	4.0	4.0	3.0	3.0	2.0	4.0	4.0	3.0	2.0
s246	1.0	2.0	4.0	3.0	1.0	2.0	3.0	1.0	3.0	4.0	1.0	3.0	1.0	2.0	1.0	2.0	3.0	2.0	2.0	3.0	1.0	4.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	4.0	2.0	1.0	3.0
s249	3.0	2.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0	2.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	2.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	2.0
s252	3.0	2.0	3.0	2.0	3.0	2.0	4.0	4.0	2.0	2.0	2.0	4.0	3.0	2.0	4.0	3.0	2.0	4.0	3.0	5.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	2.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	2.0	3.0	2.0
s254	4.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	2.0	3.0	1.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	1.0	3.0	4.0	5.0	4.0	3.0	4.0
s259	3.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
s262	3.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	2.0	4.0	2.0	4.0	4.0	4.0	2.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	2.0	4.0	3.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	3.0
s264	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0
s265	4.0	1.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0
s269	5.0	4.0	5.0	4.0	2.0	5.0	3.0	4.0	3.0	5.0	4.0	3.0	2.0	4.0	4.0	2.0	3.0	3.0	4.0	5.0	3.0	3.0	2.0	3.0	3.0	5.0	4.0	2.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	3.0
s273	3.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	3.0	4.0	5.0	3.0	3.0	4.0	3.0	5.0	3.0	2.0	4.0	5.0	3.0	4.0	3.0	3.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	4.0	3.0	5.0	4.0	4.0	4.0
s275	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	1.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	1.0	5.0	4.0	5.0	5.0	4.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0
s277	4.0	3.0	5.0	4.0	3.0	3.0	3.0	5.0	3.0	2.0	3.0	2.0	3.0	2.0	4.0	3.0	2.0	2.0	3.0	4.0	3.0	2.0	5.0	3.0	4.0	4.0	2.0	5.0	4.0	2.0	3.0	3.0	3.0	2.0	2.0	4.0	3.0	5.0	3.0
s284	3.0	3.0	3.0	3.0	4.0	2.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	3.0	2.0	4.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	3.0	2.0
s285	2.0	3.0	5.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	5.0	3.0	4.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	2.0	5.0	3.0	4.0	4.0	3.0	5.0	3.0	3.0	3.0	4.0	5.0	4.0	3.0	4.0	5.0
s286	4.0	2.0	2.0	1.0	4.0	4.0	2.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	2.0	1.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	2.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	2.0	5.0	4.0
s290	3.0	2.0	1.0	4.0	4.0	3.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	2.0	3.0	4.0	2.0	4.0	3.0	4.0	4.0	3.0	2.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0	2.0	4.0
s291	4.0	2.0	3.0	4.0	4.0	5.0	4.0	5.0	2.0	2.0	4.0	5.0	5.0	2.0	5.0	5.0	2.0	3.0	5.0	5.0	3.0	5.0	5.0	1.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0	4.0	5.0	4.0	3.0	4.0	5.0	5.0
s293	2.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	3.0	1.0	3.0	3.0	2.0	2.0	5.0	2.0	3.0	1.0	2.0	4.0	2.0	2.0	3.0	3.0	4.0	2.0	3.0	2.0
s294	3.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	3.0	2.0	3.0	1.0	2.0	3.0	3.0	1.0	3.0	3.0	4.0	3.0	3.0	2.0	3.0	3.0	3.0	5.0	1.0	4.0	3.0	3.0	4.0	2.0	3.0	2.0	2.0	3.0	1.0	2.0	3.0
s295	2.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0	3.0	4.0	1.0	5.0	4.0	3.0	2.0	4.0	3.0	4.0	2.0	3.0	3.0	4.0	5.0	3.0	3.0	4.0	3.0	5.0	2.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0
s297	3.0	3.0	3.0	3.0	3.0	4.0	4.0	3.0	2.0	3.0	4.0	4.0	3.0	3.0	5.0	4.0	2.0	4.0	3.0	5.0	3.0	4.0	5.0	2.0	3.0	5.0	4.0	3.0	3.0	3.0	5.0	5.0	2.0	1.0	3.0	3.0	4.0	3.0	2.0
s301	5.0	5.0	1.0	4.0	4.0	5.0	5.0	4.0	4.0	1.0	5.0	5.0	4.0	3.0	5.0	4.0	1.0	4.0	5.0	5.0	4.0	5.0	5.0	3.0	2.0	5.0	5.0	4.0	4.0	2.0	5.0	4.0	4.0	3.0	2.0	5.0	5.0	4.0	2.0
s303	3.0	4.0	4.0	2.0	4.0	3.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	5.0	2.0	4.0	3.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0	3.0	3.0	3.0	3.0	2.0	4.0	4.0	5.0	4.0
s305	4.0	5.0	3.0	2.0	4.0	4.0	5.0	5.0	3.0	3.0	3.0	5.0	4.0	3.0	4.0	5.0	2.0	5.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	3.0	3.0	4.0	5.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0
s307	1.0	3.0	5.0	4.0	4.0	2.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	5.0	2.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	1.0	3.0	3.0	5.0	2.0	4.0	4.0	5.0
s309	3.0	3.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	3.0	5.0	4.0	4.0	4.0	4.0	5.0
s313	3.0	1.0	1.0	1.0	4.0	5.0	1.0	5.0	1.0	3.0	1.0	1.0	4.0	2.0	5.0	1.0	2.0	5.0	1.0	5.0	4.0	4.0	3.0	3.0	2.0	5.0	1.0	4.0	3.0	1.0	3.0	1.0	1.0	3.0	3.0	1.0	1.0	4.0	4.0
s314	3.0	4.0	1.0	3.0	3.0	2.0	4.0	4.0	3.0	3.0	1.0	3.0	3.0	4.0	3.0	5.0	2.0	4.0	5.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	2.0	4.0	4.0	4.0	2.0
s316	4.0	5.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	5.0	4.0	3.0	4.0	5.0	4.0	5.0	4.0	4.0
s326	2.0	3.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	2.0
s327	5.0	5.0	3.0	3.0	4.0	5.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	3.0	2.0	5.0	4.0	4.0	3.0	3.0	5.0	5.0	3.0	4.0	3.0	4.0	3.0	4.0	2.0
s328	3.0	4.0	5.0	3.0	5.0	3.0	4.0	5.0	1.0	5.0	3.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	5.0	3.0	4.0	5.0	3.0	4.0	4.0	4.0	3.0	5.0	5.0	4.0	5.0	4.0	3.0
s329	2.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	5.0	2.0	4.0	4.0	4.0	5.0	2.0	3.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0
s332	4.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	4.0
s333	3.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	3.0	5.0	4.0	5.0	3.0	4.0	3.0	5.0	3.0	3.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0
s334	4.0	4.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	4.0	3.0	4.0	3.0	5.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0	5.0
s336	3.0	2.0	3.0	3.0	3.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0	2.0	1.0	3.0	3.0	3.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	3.0	4.0
s339	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	1.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	5.0	5.0
s343	3.0	3.0	1.0	2.0	2.0	4.0	3.0	3.0	3.0	1.0	4.0	3.0	1.0	2.0	3.0	2.0	1.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	2.0	2.0	2.0	5.0	3.0	2.0	1.0
s346	1.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	2.0	5.0	4.0	5.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0
s351	4.0	4.0	4.0	3.0	5.0	4.0	4.0	5.0	2.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	3.0	5.0	2.0	4.0	2.0	5.0	5.0	2.0	4.0	4.0	3.0	5.0	2.0	5.0	4.0	4.0	1.0	5.0	4.0	4.0	4.0	5.0	4.0
s352	2.0	4.0	4.0	1.0	1.0	3.0	4.0	5.0	1.0	1.0	4.0	5.0	3.0	4.0	1.0	5.0	3.0	5.0	3.0	3.0	2.0	5.0	2.0	2.0	1.0	5.0	4.0	5.0	1.0	4.0	2.0	3.0	1.0	4.0	4.0	5.0	4.0	5.0	1.0
s357	1.0	3.0	5.0	4.0	4.0	1.0	5.0	4.0	1.0	5.0	3.0	4.0	4.0	5.0	3.0	4.0	5.0	5.0	4.0	3.0	4.0	5.0	5.0	4.0	5.0	3.0	4.0	4.0	4.0	5.0	5.0	3.0	3.0	4.0	5.0	4.0	4.0	5.0	4.0
s359	1.0	3.0	5.0	3.0	5.0	1.0	3.0	5.0	2.0	4.0	3.0	4.0	5.0	5.0	1.0	5.0	3.0	5.0	1.0	1.0	2.0	5.0	5.0	2.0	5.0	1.0	3.0	5.0	2.0	5.0	2.0	3.0	2.0	5.0	4.0	2.0	2.0	5.0	5.0
s365	3.0	1.0	1.0	3.0	3.0	2.0	1.0	3.0	3.0	2.0	2.0	1.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	3.0	1.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	3.0	2.0	1.0	3.0	3.0	2.0	3.0	1.0	3.0	2.0
s368	3.0	5.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	3.0	3.0	5.0	3.0	4.0	5.0	4.0	3.0	4.0	4.0	5.0	3.0	5.0	4.0	3.0	4.0	5.0	4.0	4.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	5.0	4.0	4.0
s369	3.0	4.0	4.0	3.0	3.0	5.0	5.0	3.0	3.0	4.0	4.0	5.0	3.0	4.0	4.0	5.0	4.0	4.0	3.0	4.0	3.0	5.0	4.0	2.0	4.0	5.0	3.0	4.0	3.0	5.0	5.0	5.0	2.0	4.0	5.0	4.0	4.0	3.0	4.0
s372	5.0	5.0	4.0	2.0	4.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0	5.0	1.0	5.0	4.0	5.0	5.0	5.0	5.0	1.0	4.0	5.0	5.0	5.0	3.0	4.0	5.0	5.0	3.0	5.0	1.0	5.0	5.0	5.0	2.0
s373	3.0	3.0	3.0	4.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0	2.0	3.0	3.0	2.0	3.0	4.0	4.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	3.0	2.0	2.0	2.0
s376	3.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	3.0	4.0	3.0	2.0	3.0	4.0	4.0	3.0	3.0	4.0	4.0
s380	3.0	4.0	5.0	3.0	5.0	5.0	3.0	5.0	4.0	5.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	3.0	4.0	4.0	5.0	5.0	3.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	3.0	4.0	5.0	5.0	2.0	4.0	5.0	5.0
s383	2.0	4.0	2.0	3.0	4.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	4.0	3.0	4.0	2.0	4.0	4.0	5.0	4.0	3.0	4.0	3.0	2.0	5.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0	3.0
s388	3.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	3.0	4.0	4.0	2.0	3.0	3.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	3.0	4.0
