index,Sensation Seeking,Mindfulness,Impulsivity,Emotional Control,Reward Sensitivity,Goal-Directedness,Risk Perception,Eating Control,Ethical Risk-Taking,Social Risk-Taking,Financial Risk-Taking,Agreeableness
s604,-0.7342244962588304,1.9462772088958453,0.4306834684428112,2.086211289105586,-0.39548077409558074,0.9937197710092462,-0.20422083689513235,-1.4695628894081627,-1.532146871451528,0.3850432485260596,0.9039857401848594,-0.16663447089597772
s605,1.8372990103007736,-1.7175177546270473,0.43566830067749523,-1.3254598849034043,1.146561658766086,-0.10007331090865701,2.249691841331254,1.9060672624754458,0.4601549026131503,0.3653409523891254,1.1567252324823496,-0.11101555504627486
s606,0.7419269256682429,1.46894271185936,-1.1215171302360116,-1.4306692878286615,-1.2203675900828577,0.6248951626179929,0.6035493494235751,-0.8591598564885888,2.0617299653148065,0.5949471087243194,1.0785731310982885,1.325804379013678
s607,-0.3331176185323435,0.5658000771251812,-0.7589379686944752,0.37545652622302145,0.4648134273764013,1.6731192967963757,1.3717539884120933,-1.1638389988648958,-0.7109703353769828,0.9294534000599214,-1.1746975743385661,-0.7251111295751206
s608,-0.6264289209203469,-0.13652322437672648,-0.14663180427859765,0.7050562830608569,-0.6388529823788913,-1.3440381317817296,-0.5426665779314142,-0.05758799888732857,-0.09822716774660568,-1.1505113997321719,0.4827419572415148,1.4692718705168528
s609,0.03701760868112229,0.7547116937525644,-0.5955671108866236,-0.11090923857334165,0.8626669369341396,0.2813754579616776,-0.27495826833499026,-1.3356341112992312,1.3423242763817058,0.740770548379019,1.043024257281392,-1.9829694561910158
s611,-1.644834159178085,-0.8429573107886046,0.7692335855629596,-1.3784407520997315,-0.7697032031718516,-0.6708084952002986,-2.2987245269034573,-0.39670574869475345,0.1225817286697055,-1.192026663967376,-0.04093983504562943,-0.6448804239643571
s612,-0.9516000742675753,-0.6461413770891219,0.5364138603799716,0.09676172681286437,-0.23319570080760402,-0.812270928843366,-1.1616162996509667,0.8195669990517995,1.7437311091126038,-0.8859895697170838,0.788444667112533,-0.5071198726375981
s613,-0.9590033631612594,-0.1893417979412967,2.862579064994,-0.3496171361001621,0.9544774209178847,0.1263497043097943,0.885713517784206,0.1707339540080415,-1.0965499399070753,-0.3938956972459643,0.20152746407421288,0.9011236943761061
s615,1.9667581031892676,0.734483963718019,-0.10163377651318749,-0.21359542378989943,0.9438884213438775,1.0942005685683172,-0.5659107607952657,0.1244687059277483,-0.321495757293129,1.7773356377527478,-0.5338250988114307,-0.19513118299517201
s616,0.902840670704334,0.8641333811224632,-2.1269512063154505,1.1468019816314892,0.3770771560280871,1.2990465773144846,1.6831493607379582,-1.1100480090646947,-0.8417463958872674,-1.167494961463435,-0.8893679996280979,1.0367990363174115
s617,0.5873730266674595,0.3207113461261364,-0.6663682632338994,-1.7552850650785121,0.9303366876569211,0.6320630757442576,0.9038845608922409,-0.677840070799087,-0.4499965572047039,-0.13832626300769676,-0.3859203932623077,-0.5050168545121877
s618,0.5862425379024812,0.6588859350617322,-1.0469989451398298,0.43948059803676837,-0.6991959023796651,-0.42743866327406926,-0.38307287515952887,0.29981414617780916,0.7689242402338634,-1.5463775593324567,1.2449243359192577,-0.2230922804709639
s619,-0.3326452059731871,1.0099211585604502,1.4527821646375048,1.1641856881635293,-0.4417342865046577,-0.218624891005991,-1.0426936656996635,0.9886390747999618,1.884960318313898,-0.4766986412815611,1.9872772624087325,0.18511377417419952
s621,-1.5649263163937663,-1.073034692793967,0.5418658268022897,-1.8651676329556612,0.17236035303102273,-1.9411477654601095,0.41714531407260325,1.9424139917369219,1.889595168822996,0.6914548939483616,0.12156085105934304,-0.8406554856272055
s622,0.4380052564118618,0.6772591483967689,-0.18932744701253232,0.5759583046551735,0.42276277318678246,0.0736463315434821,1.1353187052135238,-0.70038117540967,-0.18474525941241504,-0.0684663864509123,-0.6938835446425318,-1.310959358179202
s624,1.1363860085804378,-0.3124453108047578,-0.6734180597739728,0.7291342540068159,-0.4302319056473223,0.6572886631153344,0.614151488012378,-0.17710753714137048,0.09189431185449595,-0.8713271820569612,0.8881092939570822,0.49703266868420737
