,adaptive_n_back.hddm_drift,adaptive_n_back.hddm_drift_load,adaptive_n_back.hddm_non_decision,adaptive_n_back.hddm_thresh,adaptive_n_back.mean_load,angling_risk_task_always_sunny.keep_adjusted_clicks,angling_risk_task_always_sunny.keep_coef_of_variation,angling_risk_task_always_sunny.release_adjusted_clicks,angling_risk_task_always_sunny.release_coef_of_variation,attention_network_task.alerting_hddm_drift,attention_network_task.conflict_hddm_drift,attention_network_task.hddm_drift,attention_network_task.hddm_non_decision,attention_network_task.hddm_thresh,attention_network_task.orienting_hddm_drift,bickel_titrator.hyp_discount_rate_large.logTr,bickel_titrator.hyp_discount_rate_medium.logTr,bickel_titrator.hyp_discount_rate_small.logTr,choice_reaction_time.hddm_drift,choice_reaction_time.hddm_non_decision,choice_reaction_time.hddm_thresh,cognitive_reflection_survey.correct_proportion,cognitive_reflection_survey.intuitive_proportion,columbia_card_task_cold.avg_cards_chosen,columbia_card_task_cold.gain_sensitivity,columbia_card_task_cold.information_use,columbia_card_task_cold.loss_sensitivity,columbia_card_task_cold.probability_sensitivity,columbia_card_task_hot.avg_cards_chosen,columbia_card_task_hot.gain_sensitivity,columbia_card_task_hot.information_use,columbia_card_task_hot.loss_sensitivity,columbia_card_task_hot.probability_sensitivity,dietary_decision.health_sensitivity,dietary_decision.taste_sensitivity,digit_span.forward_span,digit_span.reverse_span,directed_forgetting.hddm_drift,directed_forgetting.hddm_non_decision,directed_forgetting.hddm_thresh,directed_forgetting.proactive_interference_hddm_drift,discount_titrate.percent_patient,dot_pattern_expectancy.AY-BY_hddm_drift,dot_pattern_expectancy.BX-BY_hddm_drift,dot_pattern_expectancy.bias,dot_pattern_expectancy.dprime,dot_pattern_expectancy.hddm_drift,dot_pattern_expectancy.hddm_non_decision,dot_pattern_expectancy.hddm_thresh,go_nogo.bias,go_nogo.dprime,hierarchical_rule.score,holt_laury_survey.beta,holt_laury_survey.risk_aversion,holt_laury_survey.safe_choices,information_sampling_task.Decreasing_Win_P_correct,information_sampling_task.Decreasing_Win_motivation,information_sampling_task.Fixed_Win_P_correct,information_sampling_task.Fixed_Win_motivation,keep_track.score,kirby.hyp_discount_rate_large.logTr,kirby.hyp_discount_rate_medium.logTr,kirby.hyp_discount_rate_small.logTr,kirby.percent_patient,local_global_letter.conflict_hddm_drift,local_global_letter.global_bias_hddm_drift,local_global_letter.hddm_drift,local_global_letter.hddm_non_decision,local_global_letter.hddm_thresh,local_global_letter.switch_cost_hddm_drift,motor_selective_stop_signal.SSRT.logTr,motor_selective_stop_signal.hddm_drift,motor_selective_stop_signal.hddm_non_decision,motor_selective_stop_signal.hddm_thresh.logTr,motor_selective_stop_signal.proactive_control_hddm_drift,motor_selective_stop_signal.reactive_control_hddm_drift,probabilistic_selection.positive_learning_bias,psychological_refractory_period_two_choices.PRP_slope,ravens.score,recent_probes.hddm_drift,recent_probes.hddm_non_decision,recent_probes.hddm_thresh,recent_probes.proactive_interference_hddm_drift,shape_matching.hddm_drift,shape_matching.hddm_non_decision,shape_matching.hddm_thresh,shape_matching.stimulus_interference_hddm_drift,shift_task.acc,shift_task.learning_rate,shift_task.learning_to_learn,shift_task.model_beta,shift_task.model_decay,shift_task.model_learning_rate,simon.hddm_drift,simon.hddm_non_decision,simon.hddm_thresh,simon.simon_hddm_drift,simple_reaction_time.avg_rt,spatial_span.forward_span,spatial_span.reverse_span,stim_selective_stop_signal.SSRT,stim_selective_stop_signal.hddm_drift,stim_selective_stop_signal.hddm_non_decision,stim_selective_stop_signal.hddm_thresh.logTr,stim_selective_stop_signal.reactive_control_hddm_drift,stop_signal.SSRT_high,stop_signal.SSRT_low,stop_signal.hddm_drift,stop_signal.hddm_non_decision,stop_signal.hddm_thresh.logTr,stop_signal.proactive_SSRT_speeding,stop_signal.proactive_slowing_hddm_drift,stop_signal.proactive_slowing_hddm_thresh,stroop.hddm_drift,stroop.hddm_non_decision,stroop.hddm_thresh,stroop.stroop_hddm_drift,threebytwo.cue_switch_cost_hddm_drift,threebytwo.hddm_drift,threebytwo.hddm_non_decision,threebytwo.hddm_thresh,threebytwo.task_switch_cost_hddm_drift,tower_of_london.avg_move_time,tower_of_london.num_extra_moves,tower_of_london.num_optimal_solutions,tower_of_london.planning_time,two_stage_decision.model_based,two_stage_decision.model_free.logTr,writing_task.neutral_probability,writing_task.positive_probability
s548,,,0.0218107788,1.8592999497,1.1,3.7,9.6958931939,1.3333333333000001,4.1881057634,-0.4677974998,-1.0463261217,4.4597232403,0.40155962700000003,2.6380534999,-0.1291660699,-7.399925011133427,,,3.613181365,0.2646121813,1.7043396699,0.0,0.1666666667,16.625,-0.0791666667,0.0,0.0038333333,0.2083333333,23.0454545455,0.0771342383,0.0,-0.0005538462,-0.25173454,0.0,0.0,7.5,7.2,0.6612216806,0.1431228165,2.3833566623999998,-0.47779267740000003,,-2.8162298144999998,-1.2483769026,-0.7548590441,3.810416849,3.0761198899,0.14063192800000002,1.7254806679999999,-1.0170844173,3.9312389163,105.0,-0.8201295979000001,0.29890834720000004,3.0,0.5,,0.5080590129,0.0004562044,0.5555555556,,,,0.0,-1.2594572974,0.037693934400000004,0.7868277644,0.1924908073,1.6254521327,-0.270235536,,,,,,,,0.255120292,3.0,1.8167640989,0.4486125191,2.5211647268,-0.5998383902000001,2.8025199469,0.3740169654,1.982952741,-1.2921621487000001,0.45137157110000004,0.0284030404,-0.0030582147000000003,12.123319977,0.4596940605,0.14341419700000002,2.789586592,0.2737389899,1.5120382462,-0.6832321981,263.0,5.5,5.2,269.1666666667,2.8767300009000003,0.3458639007,1.0779593547757194,-0.4266527102,,,,,,,,,3.1229338394,0.336952866,1.7040093654000001,-0.7677130129,-0.1328192902,1.4919937927,0.3756203622,2.1712018812,-0.3126629329,2450.7314814815,7.0,8.0,4823.0,,,0.2267024943,0.3630828068
s549,2.8864887104,,0.11978917700000001,2.396168349,1.15,11.2666666667,1.2015315896,10.8846153846,1.9662537593,-0.5921628663,-0.9035152277,4.0143258412,0.3325264476,2.8804691775,-1.0621772582,-8.462351375485039,-7.595678528062906,-6.651569910791653,4.0127584161,0.22114498100000002,1.4811281309,0.5,0.5,1.5416666666999999,0.0208333333,1.0,-0.0005,-0.45833333330000003,1.2083333333,0.0191489362,2.0,-0.00043262410000000003,-0.2021276596,0.1564737596,0.5931261056,6.8,6.0,2.423371216,0.5978979883000001,1.7790161381,-0.5088987057000001,0.8333333333,-2.4313807998,-0.33292481890000003,-0.3719338943,3.8121088774,2.6389525095,0.1074774228,1.8054562118000002,-0.8903224109000001,3.6777149035,128.0,59.8991114415,0.8568707964000001,6.0,0.8592147827000001,0.0010194791,1.0,0.0012516268,0.3888888889,-6.449609932071972,-8.511264302067358,-6.449609932071972,0.7407407407000001,-0.5502436177,-0.0636850076,1.4598390712,0.4148206559,1.9859220521,-0.5145709232,,,,,,,,0.4503310078,8.0,1.801511971,0.5695090495,2.0291898678,-0.7324614515,3.2974801829000002,0.5292677412,1.5056739652,-1.1900345804999999,0.485,0.054085431,-0.0055561245000000006,9.8689887804,0.6039872026,0.1227776599,2.880905077,0.2339916378,1.535332919,-0.2698070329,290.5,4.8,4.9,317.1666666667,1.5596215074000002,0.3216671129,0.557766223001382,-0.5025088966,232.3333333333,297.5,2.9424873113,0.3337762737,0.6469360211669097,65.1666666667,-0.5728036442000001,0.1795897207,2.5766603907,0.3595676926,1.8057816089,-1.3896632647,-0.1280002847,1.5436209722,0.0217782116,2.7980774074,-0.4261237167,2436.6287878788,-3.0,11.0,4078.4166666667,0.0145472862,-1.3475320930364934,0.1643518844,0.1475838908
s553,0.7056914393,-0.1376550524,0.018310428,1.8326745393000001,1.2,33.6363636364,8.9418515955,10.1363636364,2.7306977051,-0.1833986337,-0.9825640509,3.551265191,0.3876103435,2.2214537261,-0.7519874052000001,,-4.2654422335373665,-3.5423132662535513,4.1059684447,0.2672959789,1.5696010908,0.5,0.33333333330000003,4.875,-0.0041666667,0.0,-0.0018333333,0.2916666667,10.2916666667,0.0733670374,1.0,-0.0002653185,-4.8892821031,0.496245853,0.5081194343000001,7.1,6.3,0.4383961651,0.5752488581,1.8916871776000002,,0.1666666667,-0.0627189646,-0.2313494623,-0.3818207369,3.7658133658,1.7629110192000002,0.3300455908,1.9861005185,-0.41348168350000003,4.6313963585,144.0,25.7627506452,0.3968411315,9.0,0.7659355164,0.0007733419000000001,0.8846771240000001,0.0008134536,0.5277777778,-3.6869826661541367,-2.067339257049917,-3.664674886451777,0.2592592593,-0.3243961916,0.026200859700000002,1.1123132439,,2.9837742463,-0.2894202194,5.857456850592483,2.9049436377,0.3282033366,0.7216798809078887,-1.5679709353,-0.41627124600000004,,0.7784892522,8.0,0.6332750021,0.2673377294,2.5397630603,-0.40580339120000003,3.0635632619,0.3972201648,,-1.5646909197,0.5913705584,0.1134187889,-0.000701021,6.592928628,0.6242121125,0.2038969474,3.0701429808,0.16840899,2.2170220684,-0.6458096232,366.0,4.8,4.9,412.6666666667,2.2679112316,0.31731456280000003,0.6230234967313658,-1.0131106987,278.1666666667,325.1666666667,3.1577934149,0.3499772036,0.45366575715086904,47.0,0.3004059099,0.0648102253,2.4492850264,0.4404243358,2.2769027433,-1.2937861276,-0.1424389629,2.2664710989,0.32598231710000003,2.6486012050000003,-0.3366488331,2841.0555555556,4.0,8.0,2984.4166666667,0.0864742558,-1.4981760875050512,0.8308374900000001,0.38715396490000004
s554,2.9146615493,-0.8027068134,0.2342579649,1.8324145191999999,2.05,,,,,-0.1787585676,-1.0777299577,4.0913689296,0.36756046800000003,2.0354289085,-1.0631824886,-12.07049335128835,-6.715787232869717,-5.041074362608497,3.5660859884000002,0.37766345760000003,1.3756766153,1.0,0.0,17.7916666667,0.1708333333,3.0,-0.007500000000000001,-3.7916666667000003,18.5,0.027659574500000002,2.0,,-5.6436170213,-0.0859892555,0.8976714677000001,6.9,7.3,2.2876156722,0.5493272959000001,1.9674164182,-0.5763668919,0.7222222222,-3.7328007816,-2.6729204501,-0.5629734621,4.194188013,3.8336413219,0.14933085940000002,2.2332639653,-1.0385004382,3.3813588491,224.0,1.2928725743,0.0438060331,4.0,0.7928710938,0.0019242926000000002,1.0,0.0014605934,0.5555555556,-5.553730190361736,-4.625581180301964,-4.625581180301964,0.48148148150000003,-1.1524722178,-0.175198986,2.2419835883,0.39088584260000003,1.4576682183,-0.4519202581,5.991047793611556,2.1096004303,0.2906617778,0.37962410865060275,-1.5915656271,-0.46811925320000003,,0.4605822453,12.0,1.6797364739,0.470040744,1.6275014853,-0.6563492431,3.4004125645,0.38754552210000004,1.1460776038,-1.5674636167,0.4914425428,0.1261312189,-0.0008674019,9.8120600201,0.5814560832,0.1646011142,2.3370281908,0.2670108987,1.6166638229,-0.1696513868,345.5,6.5,5.7,327.3333333333,2.8415974552,0.3252523217,0.6662119779645478,-0.6976467334,253.1666666667,305.6666666667,2.5420388791,,1.127289388214014,52.5,0.6244003451,0.3787851488,2.6912551121,0.4192047346,1.5644726431,-0.9557072492,-0.09782021,1.6962788224,0.2735150851,1.8292680849,-0.3484201233,3044.7023809524,-1.0,7.0,4412.6666666667,0.191546564,,0.8513549121,0.2048830082
s555,2.3687650223,-0.30788224940000003,0.2641186903,2.0495945547,3.25,13.8461538462,3.6953192846,9.2173913043,2.8277283163,-0.5613970895,-1.0097010519,4.8222378792,0.2884438968,2.9186561617,-1.6087438224000001,-11.187658632191177,-9.918333205952633,-6.0622726651585195,,0.2192126583,2.0179884877,0.6666666667000001,0.1666666667,2.2916666667,0.0375,3.0,-0.0025,-0.625,6.4166666667,0.12715339550000002,3.0,-0.0063614667,-2.2584074637000002,0.1486656374,0.8778451698,6.6,7.3,2.8804470966,0.3566711953,3.0693736036,-0.5167631104,0.6111111111,-5.4109882096,-2.0117080765,0.1910395678,4.9380558016,6.1704662129,0.2347959574,1.8211327037,0.0,,228.0,3.1133116671,0.12380790750000001,4.0,0.8784576416000001,0.0008363981000000001,1.0,0.0007726543,0.6111111111,-7.365900695568905,-7.365900695568905,-6.449609932071972,0.7407407407000001,-1.1315440244000001,0.3209722094,2.3208455236,0.4236807523,2.4596247751,-0.32600131190000003,5.541916926429759,,,,-3.1354256879,-0.36011395030000004,3.9717226323,0.6991107784,17.0,1.7854721728,0.5305784338,2.4844014533,-0.4868270354,4.3774911107,0.3968464627,1.6806560515,-2.2791214256,0.3480392157,-0.0255258183,0.000866757,1.0,0.0,0.1,4.9850136209,0.2747803595,2.1577976167,-0.42845218100000004,329.5,7.0,6.8,263.8333333333,,0.3748532663,,-1.2505492431,217.8333333333,206.3333333333,,0.393911444,1.0442609189203678,-11.5,0.7271213273,,3.6165286817,0.32398922750000003,2.9247093672,-0.9604123722000001,-0.126191399,2.5966381817,0.2826679268,2.0869849902,-0.28427700570000003,1683.1944444444,-2.0,9.0,5803.25,0.6636253921,-0.9577583767088068,0.8001659335,0.5360006371
s556,0.7877921159,-0.2629024132,0.0246263325,1.7138653581,1.05,17.68,10.6876876202,6.9545454545,4.3036780806,-0.4297789225,-0.9840481412000001,3.2853723859,0.3695241319,1.4790129575,-1.0131840383,-6.376017702272779,-4.5761045247380565,,3.6024566498,0.3015054165,1.4967261713,0.6666666667000001,0.0,13.3333333333,0.1833333333,0.0,0.0023333333,0.6666666667000001,3.0416666667,-0.012532808400000001,0.0,-0.0002519685,0.0295275591,0.806031169,0.09572394890000001,7.0,5.5,0.7568804827000001,0.0747850273,2.2919637992,-0.4074023795,,-1.1872887335,1.4918416832,0.5852987131,4.1495375109,2.0785316122,0.1039905109,2.2054434862,-1.327315884,3.310775983,162.0,1.2928725743,0.0438060331,4.0,0.4121016979,0.0021113333,0.5823420882,0.0012063136,0.1944444444,-4.625581180301964,-3.664674886451777,-2.748384152235016,0.2962962963,-1.4178482351000001,-0.5144605335,1.8758663955000001,0.3795623457,1.3426822691,-0.35769914350000004,,,,,,,0.8386160899,0.13725071020000001,4.0,0.7423724460000001,0.4554811831,2.1443854209,-0.4124542497,2.9214243154,0.479505369,1.4987757196,-0.9943191497,0.3136246787,-0.009407236900000001,-0.0022402553,1.0,0.0,0.1,2.924659875,0.2275120438,1.6927031321000001,-0.6676599983,350.0,4.8,4.9,,,,,,,,,,,,,,3.6160046428,0.43727784210000004,1.674086392,-1.4887373228,-0.0684753511,1.0225854362,0.0400846657,2.4564913669,-0.23653354240000002,2382.2222222222,4.0,7.0,4567.3333333333,,,0.8939293807,0.7553309773
s557,2.0942411419,-0.5466786406,0.1511589556,1.9846593870000002,1.75,34.0,8.94427191,44.9090909091,14.0317821067,-0.7457547941,-1.1140720353,3.6171076729,0.35175580900000003,2.1087619873,-1.2045253731,-10.11810753290946,-10.184959613750465,-5.439242102705928,4.1415614452,0.28923189860000004,1.4480622295,0.5,0.1666666667,10.7916666667,-0.0208333333,1.0,-0.0008333333,-4.5416666667,15.4166666667,0.0552419355,0.0,-0.008924731200000001,-3.6021505376,,,9.0,6.3,,,,,0.5277777778,-0.4327309983,1.3669483528,-0.3884511935,3.7790742791,2.9330718602,0.2838138163,1.7672831259000001,,,,7.6113128603,0.3752535483,7.0,0.7416572571000001,0.0009524917,1.0,0.0020646181,,,,,,-1.0792086724,-0.2745611797,2.1643117263000002,0.4531963402,2.0671880895,-0.48249244090000004,5.708217071723956,4.0887619121,0.3512735629,0.6908279765842531,-0.676920516,-0.09412921760000001,,0.4293551114,8.0,,,,,4.1563214028,0.4457373706,2.8925127808,-1.875128416,,,,,,,,,,,338.0,5.8,6.1,,,,,,,,,,,,,,,,,,-0.0490784936,2.2674596662,0.3594575338,2.2823323866,-0.32394737900000004,,,,,0.4883358534,,0.14865779640000001,0.3781859406
s558,,,,,,,,,,-0.3836730718,-1.014435147,3.5946771014000003,0.3842466611,1.7110801413,-1.5528689043,,,,3.4290713148,0.312801176,1.4798707876,0.8333333333,0.0,,,,,,5.1666666667,0.08970117400000001,3.0,-0.0038633938,-1.2038420491,,,,,,,,,,,,,,,,,,,228.0,1.2928725743,0.0438060331,4.0,1.0,0.0003038656,1.0,0.0006217368000000001,0.5,,,,,-1.0994724484,-0.2169410076,1.418654209,0.45443647800000003,1.8139140713000002,-0.6355631546,,,,,,,,0.7723147771000001,,,,,,,,,,,,,,,,,,,,,5.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s561,2.0719993309,-0.6515535777,0.1667094884,1.5609107828000002,1.35,55.7857142857,8.8594024059,31.0666666667,1.6676187757,-0.5858883153000001,-0.9404060899000001,2.4567716752,0.2794080055,1.9492376196999999,-0.1649558672,-6.821750258199092,-6.735009170818473,,2.6571429992,0.2753028923,1.5759698401,0.8333333333,0.0,12.4583333333,-0.0125,0.0,-0.0025,0.2083333333,16.9583333333,0.0032052578000000003,0.0,-0.0010050556000000001,0.5679474216,0.1199504807,0.9290000223,9.9,11.0,1.0500801041,0.3646420587,2.305986959,-0.2145616864,,-1.8549134666,-2.3844212384,-1.1368128097,2.2736256194,1.435129952,0.1429284357,1.6878466983,-1.1652624446,3.6348828618,118.0,0.269837789,0.1762174164,5.0,0.7822845459000001,,1.0,0.0024709171,0.6666666667000001,,-1.8444397271102142,,0.0740740741,-0.9698191534,-0.16341126450000001,1.3677470137,0.42395363420000004,1.7833196693,-0.4576228241,,,,,,,-1.4602883295,0.5082499006,6.0,1.3463668511,0.4406772372,2.2179208011,-0.3378560023,2.1630703302,0.44679911,1.4396163003,-0.2003199215,0.3009950249,-0.021313188900000002,-0.0002978029,0.0682146517,0.0017914245,0.10863455820000001,2.1363948600000002,0.3063148248,2.2548414877000003,-0.2821610295,281.0,6.3,5.6,318.6666666667,2.684650658,0.3273184381,0.07075486202949786,-0.5156772643,248.5,323.1666666667,2.9652269585,0.2485226587,0.352249805740798,74.6666666667,0.22953316610000002,-0.021202354700000002,2.4810021072,0.3050495708,1.6351480247999999,-1.1290655889,-0.09554721790000001,1.9350509941,0.3089454117,1.5354079265,-0.3587010128,1615.2001180638,27.0,5.0,1911.1666666667,,,0.82900109,0.3047287849
s567,,,,,,13.56,8.9026213368,9.68,6.1625211291,,,,,,,,,,,,,0.5,0.33333333330000003,,,,,,6.0,-0.0179261125,1.0,-0.0064861461,-2.0919395466,,,6.9,6.2,,,,,,,,,,,,,,,205.0,0.49577780920000003,0.1059061258,4.0,0.7264202118,0.0009492131,1.0,0.0010100235,,,,,,,,,,,,,,,,,,10.9177268264,,9.0,1.3115716978,0.3863434804,2.2019012506,-0.3891502908,,,,,,,,,,,,,,,,4.2,4.8,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,2801.8333333333,-0.4541285506,,,
s568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.449609932071972,-6.449609932071972,-5.553730190361736,0.6296296296,,,,,,,,,,,,,,,,,,,,3.0593584744,0.3848372276,2.1222429626,-1.5257876907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s570,1.6946684595,-0.338111887,0.030364211300000003,2.7139664284,2.5,23.0952380952,3.3151887111000002,11.9047619048,2.4880667576,-0.4084580324,-0.9397840311000001,3.6397621213,0.40822600870000003,2.6939646247,-0.79735705,-9.702823584369332,-7.784971221810954,-7.397085101836608,4.3598263723,0.2587671223,1.368450893,0.33333333330000003,0.33333333330000003,4.9166666667,0.1416666667,1.0,-0.0036666667,-1.8333333333000001,5.0833333333,0.15734557600000001,3.0,-0.007856427400000001,-1.9584724541,0.0769230769,0.6641025641,8.4,6.9,1.3541033879,0.6051900236000001,1.9491317641,-0.4009735413,0.8888888889000001,-0.886092345,-0.6893531687000001,-0.1784846719,1.7059488441,1.2647158743,0.20714780940000002,1.6405273024,-1.070541321,3.8243251091,170.0,4.755929149,0.1346114405,5.0,0.7109851837000001,0.0013572152,0.772675705,0.0011598868,0.5277777778,-6.449609932071972,-5.553730190361736,-4.609202534990781,0.5555555556,-1.0227310263,0.0754362547,1.1482194328,0.6132031168000001,1.7408980632,-0.2587199626,,,,,,,,0.7046633512,10.0,1.0838374594,0.6324398263000001,2.1381936058,-0.38020673790000004,3.0349446443,0.3802846764,2.655884412,-1.3996106088,0.3573200993,0.0016057313,-0.0028597755,,0.6761914163,0.0529834682,3.2829084631,0.2142211456,1.9608341699,-0.3011109187,342.5,6.7,7.2,255.1666666667,2.3107836769,0.3204733171,0.4630440149026318,-0.5465007688,289.1666666667,304.1666666667,2.4134286469,0.29980650200000003,0.4952453630536461,15.0,0.27379853590000003,0.08475970270000001,1.6828619076,0.3191780987,2.344617358,-1.0401386782,-0.11200214330000001,1.3431198822,0.08925178830000001,2.7760508826,-0.28308131270000003,1837.3333333333,0.0,8.0,4053.25,0.4049205045,,0.3270190964,0.565109937
s572,1.489435149,-0.3370241122,0.0237276454,1.743540059,1.75,39.7142857143,15.9816859472,23.1333333333,6.1628688434,-0.8032623720000001,-1.1101348759,2.9973827154,0.3425001083,1.265541184,-1.2400355451,,,-4.342505482041676,3.3328093478,0.2722150852,1.4948419703,0.8333333333,0.0,12.9166666667,0.033333333300000004,1.0,-0.0013333333,-3.0,20.8333333333,-0.0533096927,1.0,0.000534279,-2.3971631206,0.211826544,0.7694856392,7.8,8.6,2.2437562062,0.5501351942,1.5760390815,-0.7712230877,,-3.8797803154,-0.10949261830000001,0.0,5.3201349372,6.1824730408,0.050237015600000004,,-0.8903224109000001,3.6777149035,224.0,2.3916188301,0.3492235958,5.0,0.6830046654,0.0010611772,0.6933481216,0.0016109816,0.5833333333,,,,0.0,-0.9665997791000001,-0.1444261201,1.852732548,0.3525141641,1.559460351,-0.4799677654,5.458166067490075,3.3710701106,0.3371111874,0.1784620566624367,-0.8399899681,-0.4212525662,-21.9288663288,0.4226574019,12.0,2.3997888129,0.6090620654000001,1.5847728423,-0.46155953720000004,3.2216222589,0.3797966109,1.5920631108999999,-1.4954437384,0.353960396,0.0225123242,-0.0025893987,3.3906211033,0.6362246577,0.2284957172,3.1776026063,0.3047600565,1.5695151734000001,-0.3261030639,298.0,6.5,7.1,228.0,4.2262218808,0.2981955283,0.6710439036608531,-0.4168925466,284.8333333333,227.0,2.9028595142,,,-57.8333333333,0.22656235930000002,0.7221383214,3.3294372182,0.3384595266,1.8342832584000002,-0.8479500167,-0.0883653766,2.5750917792,0.2682015193,1.7743992876,-0.2964241647,1729.4366666667,10.0,9.0,4501.0,-0.0740779703,,0.1201304411,0.5376129523000001
s573,1.6984483154999999,-0.5420716918,0.3448620186,1.328038882,1.05,3.3666666667,3.6053918753,1.724137931,1.8302332350000001,-0.3827120083,-1.0170252864,3.5474768409,0.3637735197,2.3420625754,-0.25678556680000003,,,,3.9536507641,0.24183527800000001,1.4111700126,0.5,0.1666666667,2.1666666667,-0.033333333300000004,0.0,0.0006666667,-0.1666666667,12.0833333333,-0.0423728814,1.0,-0.0009148458,-1.6865427813,0.36338028170000003,0.5577464789000001,7.8,5.2,2.2338947864,0.4037658537,2.2032484209,-0.43120943,,-0.8718154894,0.0983821092,-0.3719338943,3.8121088774,2.7389096751,0.1866923715,1.7185272382,-0.5622446405,3.8597451277,121.0,1.2928725743,0.0438060331,4.0,0.5558649063000001,0.0010812485,0.4427238464,0.0008587748,,,-1.8444397271102142,-1.8444397271102142,0.0740740741,-1.3640302461,-0.12473910460000001,1.4995854583,0.3640007927,2.2120958628,-0.4109895376,,,,,,,,0.3643594765,14.0,1.6520027,0.3661560608,2.5020782,-0.5116014621,3.2657074699,0.4294307861,1.3941313500999999,-2.6419551196,0.4034653465,0.0285119942,0.0011656213,6.9952785482,0.5697804414000001,0.2487422326,3.1551524814,0.2563757487,1.4366191312,-0.3173371244,359.5,5.4,5.1,210.1666666667,2.945488173,0.2346962377,,-0.47106956600000005,291.6666666667,297.3333333333,2.4728466735,0.3066537649,0.5171558272640706,5.6666666667,0.3122452394,0.2996641312,2.2150886393,0.3149803215,1.7465467973000002,-1.0483324647,-0.0776217528,1.5250620593000002,0.3039765061,1.8075533502,-0.3187033354,2103.8541666667,8.0,7.0,3058.0,,,0.8335189413,0.5850429919
s574,2.383830907,-0.7085753552,0.0358837211,2.0633531223,1.75,20.7307692308,22.8815343757,2.5925925926,6.4704016001,-0.6266453801,-1.0044864764,3.5303206726000003,0.4045715991,1.2915317561,-0.5587792571,-10.353095789029375,-9.347380771112084,-4.9708137999095845,2.5560025294,0.2772690588,1.2884023931,0.1666666667,0.6666666667000001,11.5833333333,-0.0416666667,1.0,-0.002,-4.25,6.5,-0.0471688574,1.0,-0.0013589484000000001,-2.3757330637000003,0.19108566700000001,0.8840665577,7.8,5.9,1.5184391476,0.3095306673,1.7844552049,-0.6115901888,0.2777777778,-2.9306674435,-1.42211007,-0.695420887,3.165134892,2.6257602999,0.0113402801,2.0123196779,-1.192241406,2.5997515967,118.0,59.8991114415,0.8568707964000001,6.0,0.5970585465,0.0011278316000000001,0.7056931973,0.0012224423000000001,0.6111111111,-4.609202534990781,-3.664674886451777,-3.664674886451777,0.40740740740000003,-0.7417028719000001,-0.1620195966,0.8743308067000001,,2.6366265643,-0.3946587211,,,,,,,,0.3368217318,2.0,1.2922243545,0.38037652860000004,1.9498662260000001,-0.6353279667,2.1836690696,0.37086670390000004,1.4268233033,-1.4783488814,0.3529411765,-0.0051634381,-0.0002764247,0.5147793124,2.29837e-05,0.0805494194,1.533701255,,2.4751855792,-0.13453796710000002,415.0,6.1,4.8,283.0,2.1324206689,0.319544995,0.5366553681524765,-0.3720636784,218.1666666667,234.1666666667,1.9044787719,,0.8393323169857781,16.0,-0.6538848761,-0.5177802902,2.5419137542,0.2942932419,1.8343114894,-1.0919813394,-0.1118761775,1.7210282749,0.19335332130000002,1.7916409235000001,-0.2572045503,1940.2261904762,8.0,8.0,3051.75,0.0491718383,,0.6419125135,0.1545066404
s577,,,,,,,,,,,,,,1.7044763245999999,,-9.033136890212397,,-4.918303627479795,,,,,,8.3333333333,-0.15,0.0,0.0003333333,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s579,,,,,,21.7619047619,5.8387050097,26.4761904762,6.4778009202,-0.2054040291,-0.9102957213,1.2448455318,,2.0197552862,-0.6466198767,,-6.939953007127782,-3.411928582585015,3.317741281,0.2810878496,1.2657665497,0.6666666667000001,0.33333333330000003,6.2083333333,0.1875,3.0,-0.0041666667,-0.875,6.5833333333,0.125,2.0,-0.0016666667,-1.75,0.1000300808,0.6206816762,8.1,7.0,,,,,0.7777777778,-3.3224290844,-0.399525408,0.0058079519,2.9905559884,1.9648912005999999,0.030833088,1.9618426421000001,-1.5092602536,2.9468872438,176.0,0.0331595576,,3.0,0.851921463,0.0013878091,0.985546875,0.0016498681000000001,0.6944444444,-4.625581180301964,-4.625581180301964,-3.664674886451777,0.40740740740000003,-1.2909127011,-0.2533685037,1.5655022369,0.3903942996,1.3780027671,-0.2906982333,,,,,,,,0.4234614671,,1.8250971291,0.5125808635,1.3949491713,-0.48438812010000004,1.4373849259,0.3851332394,1.0854736415,-1.0840463083,0.4619164619,0.0449559703,0.0031786217,7.588423144,0.37412425180000003,0.2110334982,2.4900442662,0.2681884975,1.2182786023,-0.7018356311,,6.5,5.8,371.0,1.7579043497,0.3016246823,0.10352776116888163,-0.6976621678,,,,,,,,,1.8641747715,0.3049773777,1.2340229977,-0.9902826168000001,,,,,,1961.7516666667,3.0,9.0,3921.6666666667,,,0.8745826951000001,0.25521293500000003
