,subj_idx,response,rt
adaptive_n_back_0_559,0,1.0,0.838
adaptive_n_back_0_561,0,1.0,0.366
adaptive_n_back_0_563,0,1.0,0.43
adaptive_n_back_0_565,0,1.0,0.453
adaptive_n_back_0_567,0,0.0,0.784
adaptive_n_back_0_571,0,1.0,0.447
adaptive_n_back_0_573,0,1.0,0.423
adaptive_n_back_0_575,0,0.0,0.494
adaptive_n_back_0_577,0,1.0,0.612
adaptive_n_back_0_579,0,1.0,0.641
adaptive_n_back_0_581,0,1.0,0.49
adaptive_n_back_0_583,0,1.0,0.689
adaptive_n_back_0_585,0,1.0,0.707
adaptive_n_back_0_587,0,1.0,0.611
adaptive_n_back_0_589,0,0.0,0.514
adaptive_n_back_0_591,0,0.0,0.523
adaptive_n_back_0_593,0,1.0,0.659
adaptive_n_back_0_595,0,1.0,0.567
adaptive_n_back_0_597,0,1.0,0.453
adaptive_n_back_0_599,0,1.0,0.734
adaptive_n_back_0_601,0,1.0,0.496
adaptive_n_back_0_603,0,1.0,0.463
adaptive_n_back_0_605,0,1.0,0.39
adaptive_n_back_0_607,0,0.0,0.493
adaptive_n_back_0_609,0,1.0,0.54
adaptive_n_back_0_613,0,1.0,0.474
adaptive_n_back_0_617,0,1.0,0.496
adaptive_n_back_0_619,0,1.0,0.302
adaptive_n_back_0_621,0,1.0,0.414
adaptive_n_back_0_623,0,1.0,0.405
adaptive_n_back_0_625,0,0.0,0.62
adaptive_n_back_0_627,0,1.0,0.51
adaptive_n_back_0_629,0,1.0,0.713
adaptive_n_back_0_631,0,1.0,0.584
adaptive_n_back_0_633,0,0.0,0.56
adaptive_n_back_0_635,0,1.0,0.391
adaptive_n_back_0_637,0,1.0,0.485
adaptive_n_back_0_639,0,1.0,0.446
adaptive_n_back_0_641,0,0.0,0.405
adaptive_n_back_0_643,0,0.0,0.676
adaptive_n_back_0_647,0,1.0,1.194
adaptive_n_back_0_649,0,0.0,0.523
adaptive_n_back_0_651,0,1.0,0.577
adaptive_n_back_0_653,0,1.0,0.393
adaptive_n_back_0_655,0,1.0,0.488
adaptive_n_back_0_657,0,1.0,0.535
adaptive_n_back_0_659,0,1.0,0.584
adaptive_n_back_0_751,0,1.0,0.531
adaptive_n_back_0_753,0,1.0,0.346
adaptive_n_back_0_755,0,1.0,0.359
adaptive_n_back_0_757,0,1.0,0.421
adaptive_n_back_0_759,0,0.0,0.476
adaptive_n_back_0_761,0,1.0,0.987
adaptive_n_back_0_763,0,0.0,0.671
adaptive_n_back_0_765,0,0.0,0.394
adaptive_n_back_0_767,0,1.0,0.595
adaptive_n_back_0_769,0,1.0,0.7
adaptive_n_back_0_771,0,1.0,0.465
adaptive_n_back_0_773,0,1.0,0.488
adaptive_n_back_0_775,0,1.0,0.538
adaptive_n_back_0_777,0,1.0,0.569
adaptive_n_back_0_779,0,1.0,0.462
adaptive_n_back_0_781,0,1.0,0.512
adaptive_n_back_0_783,0,0.0,0.725
adaptive_n_back_0_785,0,0.0,1.011
adaptive_n_back_0_787,0,0.0,0.866
adaptive_n_back_0_789,0,1.0,0.537
adaptive_n_back_0_791,0,1.0,0.463
adaptive_n_back_0_793,0,1.0,0.502
adaptive_n_back_0_841,0,1.0,0.475
adaptive_n_back_0_843,0,1.0,0.289
adaptive_n_back_0_845,0,1.0,0.408
adaptive_n_back_0_847,0,1.0,0.462
adaptive_n_back_0_849,0,1.0,0.507
adaptive_n_back_0_851,0,1.0,0.715
adaptive_n_back_0_853,0,1.0,0.457
adaptive_n_back_0_855,0,1.0,0.625
adaptive_n_back_0_857,0,1.0,0.695
adaptive_n_back_0_859,0,1.0,0.605
adaptive_n_back_0_861,0,1.0,0.45
adaptive_n_back_0_863,0,1.0,0.368
adaptive_n_back_0_865,0,1.0,0.423
adaptive_n_back_0_867,0,1.0,0.443
adaptive_n_back_0_869,0,1.0,0.4
adaptive_n_back_0_871,0,1.0,0.624
adaptive_n_back_0_873,0,1.0,0.509
adaptive_n_back_0_875,0,1.0,0.483
adaptive_n_back_0_877,0,1.0,0.531
adaptive_n_back_0_879,0,1.0,0.715
adaptive_n_back_0_881,0,1.0,0.456
adaptive_n_back_0_883,0,1.0,0.467
adaptive_n_back_1_026,1,1.0,0.708
adaptive_n_back_1_028,1,1.0,1.013
adaptive_n_back_1_030,1,0.0,0.745
adaptive_n_back_1_032,1,0.0,0.403
adaptive_n_back_1_034,1,0.0,0.399
adaptive_n_back_1_036,1,1.0,0.321
adaptive_n_back_1_038,1,0.0,0.62
adaptive_n_back_1_040,1,1.0,0.726
adaptive_n_back_1_042,1,0.0,0.554
adaptive_n_back_1_044,1,1.0,0.582
adaptive_n_back_1_046,1,0.0,0.417
adaptive_n_back_1_048,1,0.0,0.437
adaptive_n_back_1_050,1,0.0,0.585
adaptive_n_back_1_052,1,0.0,0.314
adaptive_n_back_1_054,1,0.0,0.342
adaptive_n_back_1_056,1,0.0,0.28
adaptive_n_back_1_058,1,1.0,0.162
adaptive_n_back_1_060,1,0.0,0.334
adaptive_n_back_1_062,1,1.0,0.419
adaptive_n_back_1_064,1,0.0,0.579
adaptive_n_back_1_066,1,0.0,0.397
adaptive_n_back_1_068,1,1.0,0.401
adaptive_n_back_1_160,1,1.0,0.38
adaptive_n_back_1_162,1,1.0,0.327
adaptive_n_back_1_164,1,1.0,0.416
adaptive_n_back_1_166,1,0.0,0.761
adaptive_n_back_1_168,1,1.0,0.491
adaptive_n_back_1_170,1,1.0,0.615
adaptive_n_back_1_172,1,1.0,0.422
adaptive_n_back_1_174,1,1.0,0.296
adaptive_n_back_1_176,1,0.0,0.402
adaptive_n_back_1_178,1,1.0,0.444
adaptive_n_back_1_180,1,1.0,0.404
