Variable Name,Short Name
discount_titrate.hyp_discount_rate_glm_now,DSTGLMN
discount_titrate.hyp_discount_rate_glm_notnow,DSTGLMNN
discount_titrate.hyp_discount_rate_nm,DSTNM
discount_titrate.hyp_discount_rate_nm_now,DSTNMN
discount_titrate.hyp_discount_rate_nm_notnow,DSTNMNN
discount_titrate.percent_patient,DSTPCTP
erq_survey.reappraisal,ERQREAP
erq_survey.suppression,ERQSUPP
five_facet_mindfulness_survey.act_with_awareness,FFMQAWAR
five_facet_mindfulness_survey.describe,FFMQDESC
five_facet_mindfulness_survey.nonjudge,FFMQNJUD
five_facet_mindfulness_survey.nonreact,FFMQNREA
five_facet_mindfulness_survey.observe,FFMQOBSV
future_time_perspective_survey.future_time_perspective,FTPSFTP
go_nogo.acc,GNGAC
go_nogo.dprime,GNGDRPIM
go_nogo.go_acc,GNGGAC
go_nogo.go_rt,GNGGRT
go_nogo.nogo_acc,GNGNOGAC
grit_scale_survey.grit,GRTSGRIT
hierarchical_rule.acc,HIRAC
hierarchical_rule.avg_rt,HIRAVRT
hierarchical_rule.avg_rt_error,HIRAVRTE
hierarchical_rule.std_rt,HIRDRT
hierarchical_rule.std_rt_error,HIRDRTE
hierarchical_rule.missed_percent,HIRMSPRC
hierarchical_rule.post_error_slowing,HIRPES
hierarchical_rule.score,HIRSCOR
holt_laury_survey.number_of_switches,HLTNOS
holt_laury_survey.risky_choices,HLTRSKCH
holt_laury_survey.safe_choices,HLTSFCH
impulsive_venture_survey.impulsiveness,IMVIMPLS
impulsive_venture_survey.venturesomeness,IMVVNTUR
information_sampling_task.Decreasing_Win_acc,ISTDECAC
information_sampling_task.Decreasing_Win_motivation,ISTDECMV
information_sampling_task.Decreasing_Win_boxes_opened,ISTDECOP
information_sampling_task.Decreasing_Win_P_correct,ISTDECPC
information_sampling_task.Decreasing_Win_total_points,ISTDECTP
information_sampling_task.Fixed_Win_acc,ISTFXDAC
information_sampling_task.Fixed_Win_motivation,ISTFXDMV
information_sampling_task.Fixed_Win_boxes_opened,ISTFXDOP
information_sampling_task.Fixed_Win_P_correct,ISTFXDPC
information_sampling_task.Fixed_Win_total_points,ISTFXDTP
kirby.hyp_discount_rate,KRBHDR
kirby.hyp_discount_rate_large,KRBHDRL
kirby.hyp_discount_rate_medium,KRBHDRM
kirby.hyp_discount_rate_small,KRBHDRS
kirby.percent_patient,KRBPCTP
kirby.percent_patient_large,KRBPCTPL
